BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-24 02:58:25 ,  000000.489 ,   001.222 ,  0000.151 ,	 0080.530 ,	  0000 ,    0302 ,  001.000 ,	 00588 ,    00036 ,	    00001 ,   000.011 ,  000.000 ,	   00727 ,	   00044 ,	 00016 ,    013.495 ,	 00020 ,    00000088 ,	   0000.25 ,	 0000.02 ,     00000
2019-05-24 02:59:25 ,  000001.840 ,   004.600 ,  0000.182 ,	 0063.080 ,	  0000 ,    0314 ,  006.000 ,	 00716 ,    00037 ,	    00001 ,   000.015 ,  000.000 ,	   00879 ,	   00045 ,	 00019 ,    013.481 ,	 00019 ,    00000094 ,	   0000.35 ,	 0000.02 ,     00001
2019-05-24 03:00:25 ,  000005.065 ,   012.659 ,  0000.156 ,	 0084.500 ,	  0000 ,    0316 ,  006.000 ,	 00710 ,    00043 ,	    00001 ,   000.011 ,  000.000 ,	   00829 ,	   00050 ,	 00017 ,    013.578 ,	 00025 ,    00000198 ,	   0001.73 ,	 0000.10 ,     00002
2019-05-24 03:01:25 ,  000005.747 ,   014.363 ,  0001.284 ,	 0085.820 ,	  0001 ,    0317 ,  006.000 ,	 01557 ,    00053 ,	    00001 ,   000.051 ,  000.000 ,	   01156 ,	   00039 ,	 00029 ,    013.538 ,	 00013 ,    00000079 ,	   0000.40 ,	 0000.01 ,     00021
2019-05-24 03:02:25 ,  000004.972 ,   012.426 ,  0000.459 ,	 0094.010 ,	  0000 ,    0316 ,  005.000 ,	 00997 ,    00052 ,	    00001 ,   000.026 ,  000.000 ,	   00860 ,	   00045 ,	 00019 ,    013.534 ,	 00018 ,    00000092 ,	   0000.30 ,	 0000.02 ,     00016
2019-05-24 03:03:25 ,  000004.259 ,   010.643 ,  0000.139 ,	 0077.380 ,	  0000 ,    0316 ,  002.000 ,	 00623 ,    00035 ,	    00001 ,   000.010 ,  000.000 ,	   00763 ,	   00043 ,	 00018 ,    013.534 ,	 00019 ,    00000086 ,	   0000.26 ,	 0000.02 ,     00000
2019-05-24 03:04:25 ,  000000.848 ,   002.119 ,  0000.153 ,	 0070.140 ,	  0000 ,    0304 ,  000.000 ,	 00656 ,    00037 ,	    00001 ,   000.012 ,  000.000 ,	   00788 ,	   00044 ,	 00018 ,    013.551 ,	 00020 ,    00000088 ,	   0000.27 ,	 0000.02 ,     00001
2019-05-24 03:05:25 ,  000000.465 ,   001.163 ,  0000.151 ,	 0089.580 ,	  0000 ,    0302 ,  001.000 ,	 00629 ,    00039 ,	    00001 ,   000.010 ,  000.000 ,	   00776 ,	   00048 ,	 00016 ,    013.551 ,	 00021 ,    00000094 ,	   0000.26 ,	 0000.02 ,     00000
2019-05-24 03:06:26 ,  000000.446 ,   001.114 ,  0000.167 ,	 0085.450 ,	  0000 ,    0302 ,  000.000 ,	 00680 ,    00036 ,	    00001 ,   000.010 ,  000.000 ,	   00837 ,	   00045 ,	 00019 ,    013.547 ,	 00019 ,    00000088 ,	   0000.28 ,	 0000.02 ,     00000
2019-05-24 03:07:26 ,  000000.431 ,   001.077 ,  0000.145 ,	 0088.420 ,	  0000 ,    0302 ,  001.000 ,	 00584 ,    00038 ,	    00001 ,   000.011 ,  000.000 ,	   00714 ,	   00046 ,	 00015 ,    013.543 ,	 00022 ,    00000092 ,	   0000.24 ,	 0000.02 ,     00000
2019-05-24 03:08:26 ,  000000.501 ,   001.252 ,  0000.185 ,	 0082.080 ,	  0000 ,    0302 ,  001.000 ,	 00715 ,    00033 ,	    00001 ,   000.011 ,  000.000 ,	   00877 ,	   00041 ,	 00021 ,    013.526 ,	 00017 ,    00000082 ,	   0000.30 ,	 0000.01 ,     00000
2019-05-24 03:09:26 ,  000000.443 ,   001.108 ,  0000.170 ,	 0089.560 ,	  0000 ,    0304 ,  000.000 ,	 00634 ,    00032 ,	    00001 ,   000.010 ,  000.000 ,	   00763 ,	   00039 ,	 00020 ,    013.520 ,	 00018 ,    00000080 ,	   0000.27 ,	 0000.01 ,     00001
2019-05-24 03:10:26 ,  000000.430 ,   001.075 ,  0000.158 ,	 0085.680 ,	  0000 ,    0303 ,  001.000 ,	 00661 ,    00037 ,	    00001 ,   000.010 ,  000.000 ,	   00802 ,	   00045 ,	 00018 ,    013.516 ,	 00020 ,    00000091 ,	   0000.27 ,	 0000.02 ,     00000
2019-05-24 03:11:26 ,  000001.481 ,   003.702 ,  0001.232 ,	 0083.450 ,	  0001 ,    0303 ,  001.000 ,	 01224 ,    00073 ,	    00002 ,   000.088 ,  000.001 ,	   00802 ,	   00048 ,	 00017 ,    013.518 ,	 00020 ,    00000096 ,	   0000.27 ,	 0000.02 ,     00034
