BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 03:57:52 ,  000006.545 ,   016.360 ,  0005.463 ,	 0092.810 ,	  0006 ,    0458 ,  001.000 ,	 00005 ,    00024 ,	    00001 ,   025.229 ,  000.176 ,	   00008 ,	   00034 ,	 00000 ,    016.599 ,	 01115 ,    00045066 ,	   0001.38 ,	 0005.93 ,     00022
2019-05-21 03:58:52 ,  000001.652 ,   004.129 ,  0000.302 ,	 0030.000 ,	  0001 ,    0458 ,  001.000 ,	 00006 ,    00026 ,	    00001 ,   004.315 ,  000.030 ,	   00008 ,	   00034 ,	 00000 ,    016.603 ,	 01157 ,    00147254 ,	   0004.58 ,	 0019.61 ,     00024
2019-05-21 03:59:52 ,  000001.855 ,   004.636 ,  0000.373 ,	 0037.010 ,	  0001 ,    0460 ,  002.000 ,	 00028 ,    00060 ,	    00003 ,   002.162 ,  000.010 ,	   00009 ,	   00019 ,	 00000 ,    016.575 ,	 00714 ,    00109423 ,	   0007.79 ,	 0016.70 ,     00042
2019-05-21 04:00:52 ,  000002.561 ,   006.401 ,  0001.196 ,	 0061.880 ,	  0002 ,    0415 ,  005.000 ,	 00404 ,    01732 ,	    00040 ,   008.287 ,  000.002 ,	   00010 ,	   00043 ,	 00000 ,    016.617 ,	 01250 ,    00286130 ,	   0008.88 ,	 0038.09 ,     01725
2019-05-21 04:01:52 ,  000004.230 ,   010.572 ,  0002.979 ,	 0098.040 ,	  0003 ,    0413 ,  003.000 ,	 00315 ,    01351 ,	    00033 ,   013.024 ,  000.003 ,	   00009 ,	   00041 ,	 00000 ,    016.613 ,	 01100 ,    00000009 ,	   0000.01 ,	 0000.04 ,     01349
2019-05-21 04:02:52 ,  000003.522 ,   008.802 ,  0002.057 ,	 0098.040 ,	  0002 ,    0408 ,  001.000 ,	 00036 ,    00010 ,	    00001 ,   000.596 ,  000.018 ,	   00045 ,	   00013 ,	 00004 ,    016.595 ,	 00076 ,    00000035 ,	   0000.07 ,	 0000.02 ,     00005
2019-05-21 04:03:52 ,  000002.017 ,   005.042 ,  0000.505 ,	 0096.210 ,	  0001 ,    0408 ,  002.000 ,	 01005 ,    00026 ,	    00001 ,   000.014 ,  000.000 ,	   01162 ,	   00030 ,	 00039 ,    016.609 ,	 00010 ,    00000232 ,	   0001.50 ,	 0000.04 ,     00001
2019-05-21 04:04:52 ,  000014.953 ,   037.379 ,  0012.743 ,	 0092.320 ,	  0014 ,    0410 ,  017.000 ,	 13540 ,    00012 ,	    00001 ,   000.012 ,  000.001 ,	   16251 ,	   00014 ,	 01160 ,    016.540 ,	 00003 ,    00000004 ,	   0001.16 ,	 0000.00 ,     00000
2019-05-21 04:05:52 ,  000014.341 ,   035.850 ,  0012.236 ,	 0093.540 ,	  0013 ,    0408 ,  001.000 ,	 13028 ,    00012 ,	    00001 ,   000.012 ,  000.001 ,	   15594 ,	   00014 ,	 01126 ,    016.517 ,	 00003 ,    00000005 ,	   0001.12 ,	 0000.00 ,     00000
2019-05-21 04:06:52 ,  000009.278 ,   023.192 ,  0007.644 ,	 0093.500 ,	  0008 ,    0408 ,  011.000 ,	 09529 ,    00011 ,	    00001 ,   000.010 ,  000.001 ,	   11387 ,	   00014 ,	 00836 ,    016.519 ,	 00003 ,    00000003 ,	   0000.48 ,	 0000.00 ,     00000
