BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-23 21:58:26 ,  000002.310 ,   005.774 ,  0001.001 ,	 0099.920 ,	  0001 ,    0244 ,  002.000 ,	 00006 ,    00014 ,	    00002 ,   002.505 ,  000.006 ,	   00003 ,	   00007 ,	 00000 ,    019.681 ,	 00640 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00006
2019-05-23 21:59:26 ,  000005.337 ,   013.340 ,  0001.263 ,	 0089.220 ,	  0001 ,    0251 ,  010.000 ,	 00562 ,    00140 ,	    00122 ,   000.352 ,  000.000 ,	   00005 ,	   00001 ,	 00004 ,    019.580 ,	 00097 ,    00000691 ,	   0001.63 ,	 0000.41 ,     00016
2019-05-23 22:00:26 ,  000009.746 ,   024.363 ,  0001.668 ,	 0081.380 ,	  0002 ,    0246 ,  009.000 ,	 00246 ,    00058 ,	    00065 ,   000.482 ,  000.001 ,	   00004 ,	   00001 ,	 00004 ,    019.494 ,	 00074 ,    00000364 ,	   0000.24 ,	 0000.06 ,     00012
2019-05-23 22:01:26 ,  000007.632 ,   019.076 ,  0002.343 ,	 0068.470 ,	  0003 ,    0244 ,  007.000 ,	 00765 ,    00290 ,	    00211 ,   001.299 ,  000.001 ,	   00004 ,	   00001 ,	 00003 ,    019.476 ,	 00111 ,    00001643 ,	   0000.56 ,	 0000.21 ,     00243
2019-05-23 22:02:26 ,  000005.048 ,   012.618 ,  0001.302 ,	 0098.320 ,	  0001 ,    0243 ,  003.000 ,	 00277 ,    00665 ,	    00081 ,   003.177 ,  000.001 ,	   00003 ,	   00008 ,	 00000 ,    019.476 ,	 00617 ,    00000009 ,	   0000.00 ,	 0000.00 ,     00657
2019-05-23 22:03:26 ,  000003.931 ,   009.826 ,  0001.002 ,	 0099.820 ,	  0001 ,    0243 ,  005.000 ,	 00006 ,    00015 ,	    00002 ,   002.317 ,  000.006 ,	   00003 ,	   00008 ,	 00000 ,    019.476 ,	 00599 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00008
2019-05-23 22:04:26 ,  000004.957 ,   012.391 ,  0001.001 ,	 0099.370 ,	  0001 ,    0245 ,  006.000 ,	 00012 ,    00028 ,	    00003 ,   002.239 ,  000.005 ,	   00004 ,	   00009 ,	 00000 ,    019.474 ,	 00580 ,    00000088 ,	   0000.01 ,	 0000.01 ,     00014
2019-05-23 22:05:26 ,  000005.503 ,   013.755 ,  0000.999 ,	 0099.690 ,	  0001 ,    0243 ,  006.000 ,	 00006 ,    00013 ,	    00002 ,   002.314 ,  000.006 ,	   00003 ,	   00008 ,	 00000 ,    019.476 ,	 00592 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00007
2019-05-23 22:06:26 ,  000005.642 ,   014.101 ,  0001.010 ,	 0099.870 ,	  0001 ,    0243 ,  003.000 ,	 00006 ,    00014 ,	    00002 ,   002.335 ,  000.007 ,	   00004 ,	   00008 ,	 00000 ,    019.476 ,	 00591 ,    00000006 ,	   0000.00 ,	 0000.00 ,     00007
2019-05-23 22:07:26 ,  000005.041 ,   012.600 ,  0001.012 ,	 0098.270 ,	  0001 ,    0243 ,  005.000 ,	 00006 ,    00015 ,	    00002 ,   002.473 ,  000.006 ,	   00004 ,	   00009 ,	 00000 ,    019.476 ,	 00617 ,    00000009 ,	   0000.00 ,	 0000.00 ,     00008
2019-05-23 22:08:26 ,  000003.186 ,   007.962 ,  0000.995 ,	 0099.120 ,	  0001 ,    0243 ,  003.000 ,	 00012 ,    00027 ,	    00003 ,   002.315 ,  000.006 ,	   00003 ,	   00008 ,	 00000 ,    019.476 ,	 00621 ,    00000047 ,	   0000.00 ,	 0000.01 ,     00018
2019-05-23 22:09:26 ,  000002.379 ,   005.945 ,  0001.005 ,	 0099.870 ,	  0001 ,    0245 ,  002.000 ,	 00008 ,    00018 ,	    00002 ,   002.323 ,  000.006 ,	   00004 ,	   00010 ,	 00000 ,    019.473 ,	 00597 ,    00000010 ,	   0000.00 ,	 0000.00 ,     00011
2019-05-23 22:10:26 ,  000002.352 ,   005.877 ,  0001.036 ,	 0096.200 ,	  0001 ,    0244 ,  003.000 ,	 00023 ,    00055 ,	    00006 ,   002.585 ,  000.005 ,	   00004 ,	   00009 ,	 00000 ,    019.476 ,	 00617 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00048
2019-05-23 22:11:26 ,  000004.031 ,   010.075 ,  0002.231 ,	 0083.770 ,	  0003 ,    0244 ,  004.000 ,	 00618 ,    01427 ,	    00187 ,   006.146 ,  000.001 ,	   00003 ,	   00008 ,	 00000 ,    019.476 ,	 00591 ,    00000006 ,	   0000.00 ,	 0000.00 ,     01420
2019-05-23 22:12:26 ,  000002.509 ,   006.271 ,  0001.330 ,	 0098.640 ,	  0001 ,    0243 ,  002.000 ,	 00271 ,    00650 ,	    00080 ,   003.235 ,  000.001 ,	   00003 ,	   00008 ,	 00000 ,    019.476 ,	 00617 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00643
2019-05-23 22:13:26 ,  000002.226 ,   005.564 ,  0000.995 ,	 0099.200 ,	  0001 ,    0244 ,  002.000 ,	 00006 ,    00014 ,	    00002 ,   002.407 ,  000.007 ,	   00003 ,	   00008 ,	 00000 ,    019.474 ,	 00621 ,    00000006 ,	   0000.00 ,	 0000.00 ,     00007
2019-05-23 22:14:26 ,  000002.255 ,   005.637 ,  0001.004 ,	 0099.610 ,	  0001 ,    0245 ,  002.000 ,	 00007 ,    00016 ,	    00002 ,   002.241 ,  000.006 ,	   00004 ,	   00009 ,	 00000 ,    019.473 ,	 00575 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00010
2019-05-23 22:15:26 ,  000002.374 ,   005.933 ,  0001.001 ,	 0099.960 ,	  0001 ,    0243 ,  003.000 ,	 00006 ,    00013 ,	    00002 ,   002.226 ,  000.006 ,	   00003 ,	   00007 ,	 00000 ,    019.475 ,	 00570 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00006
2019-05-23 22:16:26 ,  000002.260 ,   005.648 ,  0000.995 ,	 0099.170 ,	  0001 ,    0243 ,  002.000 ,	 00005 ,    00014 ,	    00002 ,   002.507 ,  000.006 ,	   00003 ,	   00007 ,	 00000 ,    019.475 ,	 00640 ,    00000006 ,	   0000.00 ,	 0000.00 ,     00006
2019-05-23 22:17:26 ,  000002.228 ,   005.567 ,  0001.003 ,	 0098.320 ,	  0001 ,    0243 ,  002.000 ,	 00006 ,    00013 ,	    00002 ,   002.268 ,  000.006 ,	   00003 ,	   00007 ,	 00000 ,    019.475 ,	 00571 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00007
2019-05-23 22:18:26 ,  000002.355 ,   005.886 ,  0001.000 ,	 0099.900 ,	  0001 ,    0243 ,  002.000 ,	 00006 ,    00013 ,	    00002 ,   002.311 ,  000.006 ,	   00003 ,	   00007 ,	 00000 ,    019.475 ,	 00591 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00006
2019-05-23 22:19:26 ,  000002.273 ,   005.680 ,  0001.004 ,	 0099.900 ,	  0001 ,    0245 ,  002.000 ,	 00007 ,    00016 ,	    00002 ,   002.234 ,  000.006 ,	   00004 ,	   00008 ,	 00000 ,    019.473 ,	 00576 ,    00000010 ,	   0000.00 ,	 0000.00 ,     00009
2019-05-23 22:20:26 ,  000002.290 ,   005.723 ,  0001.050 ,	 0095.970 ,	  0001 ,    0244 ,  004.000 ,	 00023 ,    00051 ,	    00006 ,   002.433 ,  000.005 ,	   00004 ,	   00008 ,	 00000 ,    019.475 ,	 00571 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00044
