BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 15:58:57 ,  000001.261 ,   003.153 ,  0001.058 ,	 0097.790 ,	  0001 ,    0415 ,  001.000 ,	 00197 ,    00741 ,	    00001 ,   004.057 ,  000.004 ,	   00232 ,	   00870 ,	 00000 ,    013.475 ,	 00971 ,    00000120 ,	   0000.01 ,	 0000.02 ,     00104
2019-05-21 15:59:57 ,  000001.415 ,   003.536 ,  0001.114 ,	 0096.510 ,	  0001 ,    0417 ,  001.000 ,	 00197 ,    00395 ,	    00001 ,   002.309 ,  000.004 ,	   00226 ,	   00452 ,	 00001 ,    013.495 ,	 00652 ,    00003759 ,	   0001.52 ,	 0003.03 ,     00107
2019-05-21 16:00:57 ,  000001.968 ,   004.920 ,  0001.762 ,	 0091.840 ,	  0002 ,    0416 ,  002.000 ,	 00524 ,    02245 ,	    00008 ,   008.225 ,  000.001 ,	   00069 ,	   00295 ,	 00000 ,    013.488 ,	 01112 ,    00000068 ,	   0000.00 ,	 0000.01 ,     02058
2019-05-21 16:01:57 ,  000001.644 ,   004.109 ,  0001.454 ,	 0098.920 ,	  0001 ,    0415 ,  001.000 ,	 00375 ,    01251 ,	    00003 ,   004.901 ,  000.001 ,	   00147 ,	   00488 ,	 00000 ,    013.489 ,	 00854 ,    00000009 ,	   0000.00 ,	 0000.00 ,     01004
2019-05-21 16:02:57 ,  000001.421 ,   003.552 ,  0001.216 ,	 0086.690 ,	  0001 ,    0415 ,  001.000 ,	 00205 ,    00770 ,	    00001 ,   005.261 ,  000.002 ,	   00244 ,	   00916 ,	 00000 ,    013.361 ,	 00994 ,    00000025 ,	   0000.00 ,	 0000.00 ,     00209
2019-05-21 16:03:57 ,  000001.806 ,   004.514 ,  0001.598 ,	 0087.950 ,	  0002 ,    0416 ,  002.000 ,	 00128 ,    00480 ,	    00001 ,   006.812 ,  000.009 ,	   00137 ,	   00512 ,	 00000 ,    013.354 ,	 00973 ,    00000037 ,	   0000.00 ,	 0000.01 ,     00109
2019-05-21 16:04:57 ,  000001.459 ,   003.649 ,  0001.251 ,	 0093.420 ,	  0001 ,    0417 ,  001.000 ,	 00337 ,    00136 ,	    00001 ,   000.540 ,  000.003 ,	   00459 ,	   00185 ,	 00002 ,    013.359 ,	 00108 ,    00000036 ,	   0000.02 ,	 0000.01 ,     00037
2019-05-21 16:05:57 ,  000001.349 ,   003.372 ,  0001.095 ,	 0097.730 ,	  0001 ,    0415 ,  001.000 ,	 00105 ,    00211 ,	    00001 ,   002.240 ,  000.006 ,	   00119 ,	   00237 ,	 00001 ,    013.363 ,	 00571 ,    00000173 ,	   0000.01 ,	 0000.03 ,     00056
2019-05-21 16:06:57 ,  000001.507 ,   003.767 ,  0001.260 ,	 0099.790 ,	  0001 ,    0416 ,  002.000 ,	 00037 ,    00157 ,	    00001 ,   005.412 ,  000.015 ,	   00033 ,	   00141 ,	 00000 ,    013.353 ,	 01101 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00071
2019-05-21 16:07:57 ,  000001.702 ,   004.254 ,  0001.431 ,	 0088.210 ,	  0002 ,    0414 ,  001.000 ,	 00131 ,    00393 ,	    00001 ,   004.867 ,  000.008 ,	   00177 ,	   00531 ,	 00000 ,    013.349 ,	 00778 ,    00000059 ,	   0000.00 ,	 0000.01 ,     00128
