BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 18:58:56 ,  000001.189 ,   002.972 ,  0001.004 ,	 0099.900 ,	  0001 ,    0415 ,  001.000 ,	 00006 ,    00027 ,	    00001 ,   004.306 ,  000.029 ,	   00008 ,	   00034 ,	 00000 ,    012.953 ,	 01104 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00025
2019-05-21 18:59:56 ,  000001.272 ,   003.179 ,  0001.004 ,	 0098.110 ,	  0001 ,    0416 ,  001.000 ,	 00022 ,    00047 ,	    00003 ,   002.193 ,  000.013 ,	   00009 ,	   00018 ,	 00000 ,    012.955 ,	 00694 ,    00003460 ,	   0001.42 ,	 0003.05 ,     00035
2019-05-21 19:00:56 ,  000001.929 ,   004.821 ,  0001.710 ,	 0091.870 ,	  0002 ,    0415 ,  002.000 ,	 00436 ,    01867 ,	    00053 ,   007.976 ,  000.001 ,	   00008 ,	   00035 ,	 00000 ,    012.958 ,	 01111 ,    00000067 ,	   0000.00 ,	 0000.01 ,     01860
2019-05-21 19:01:57 ,  000001.545 ,   003.861 ,  0001.375 ,	 0099.890 ,	  0001 ,    0414 ,  001.000 ,	 00324 ,    01390 ,	    00042 ,   005.898 ,  000.001 ,	   00008 ,	   00033 ,	 00000 ,    012.958 ,	 01096 ,    00000007 ,	   0000.00 ,	 0000.00 ,     01388
2019-05-21 19:02:57 ,  000001.179 ,   002.947 ,  0001.004 ,	 0099.900 ,	  0001 ,    0414 ,  001.000 ,	 00005 ,    00023 ,	    00001 ,   004.308 ,  000.031 ,	   00008 ,	   00034 ,	 00000 ,    012.958 ,	 01098 ,    00000010 ,	   0000.00 ,	 0000.00 ,     00022
2019-05-21 19:03:57 ,  000001.184 ,   002.959 ,  0001.006 ,	 0099.920 ,	  0001 ,    0414 ,  001.000 ,	 00006 ,    00027 ,	    00001 ,   004.315 ,  000.029 ,	   00008 ,	   00035 ,	 00000 ,    012.958 ,	 01103 ,    00000014 ,	   0000.00 ,	 0000.00 ,     00025
2019-05-21 19:04:57 ,  000001.219 ,   003.046 ,  0001.004 ,	 0098.250 ,	  0001 ,    0416 ,  001.000 ,	 00006 ,    00023 ,	    00001 ,   004.087 ,  000.031 ,	   00008 ,	   00033 ,	 00000 ,    012.955 ,	 01026 ,    00000012 ,	   0000.01 ,	 0000.02 ,     00021
2019-05-21 19:05:57 ,  000001.231 ,   003.076 ,  0001.012 ,	 0100.000 ,	  0001 ,    0414 ,  001.000 ,	 00009 ,    00038 ,	    00001 ,   004.336 ,  000.024 ,	   00008 ,	   00035 ,	 00000 ,    012.958 ,	 01136 ,    00000104 ,	   0000.00 ,	 0000.02 ,     00036
2019-05-21 19:06:57 ,  000001.183 ,   002.957 ,  0001.002 ,	 0099.960 ,	  0001 ,    0414 ,  001.000 ,	 00005 ,    00023 ,	    00001 ,   004.297 ,  000.032 ,	   00008 ,	   00033 ,	 00000 ,    012.958 ,	 01094 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00021
2019-05-21 19:07:57 ,  000001.243 ,   003.107 ,  0001.013 ,	 0099.950 ,	  0001 ,    0414 ,  001.000 ,	 00006 ,    00024 ,	    00001 ,   004.341 ,  000.030 ,	   00008 ,	   00035 ,	 00000 ,    012.958 ,	 01098 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00023
2019-05-21 19:08:57 ,  000001.214 ,   003.033 ,  0001.004 ,	 0099.850 ,	  0001 ,    0414 ,  001.000 ,	 00006 ,    00028 ,	    00001 ,   004.311 ,  000.028 ,	   00008 ,	   00035 ,	 00000 ,    012.958 ,	 01104 ,    00000014 ,	   0000.00 ,	 0000.00 ,     00026
2019-05-21 19:09:57 ,  000001.184 ,   002.959 ,  0001.003 ,	 0098.290 ,	  0001 ,    0415 ,  001.000 ,	 00006 ,    00023 ,	    00001 ,   004.083 ,  000.030 ,	   00008 ,	   00033 ,	 00000 ,    012.957 ,	 01026 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00022
2019-05-21 19:10:57 ,  000001.966 ,   004.913 ,  0001.749 ,	 0092.790 ,	  0002 ,    0415 ,  002.000 ,	 00453 ,    01940 ,	    00053 ,   008.079 ,  000.001 ,	   00008 ,	   00036 ,	 00000 ,    012.958 ,	 01114 ,    00000015 ,	   0000.00 ,	 0000.00 ,     01938
2019-05-21 19:11:57 ,  000001.513 ,   003.780 ,  0001.343 ,	 0099.930 ,	  0001 ,    0414 ,  001.000 ,	 00306 ,    01312 ,	    00040 ,   005.761 ,  000.001 ,	   00008 ,	   00033 ,	 00000 ,    012.958 ,	 01094 ,    00000007 ,	   0000.00 ,	 0000.00 ,     01310
2019-05-21 19:12:57 ,  000001.192 ,   002.979 ,  0001.003 ,	 0099.840 ,	  0001 ,    0380 ,  001.000 ,	 00005 ,    00014 ,	    00001 ,   002.620 ,  000.028 ,	   00009 ,	   00023 ,	 00000 ,    013.528 ,	 00675 ,    00000025 ,	   0000.00 ,	 0000.00 ,     00013
2019-05-21 19:13:57 ,  000001.218 ,   003.043 ,  0001.006 ,	 0099.850 ,	  0001 ,    0380 ,  001.000 ,	 00006 ,    00025 ,	    00001 ,   004.317 ,  000.030 ,	   00007 ,	   00030 ,	 00000 ,    013.528 ,	 01102 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00023
2019-05-21 19:14:57 ,  000001.215 ,   003.037 ,  0001.004 ,	 0098.220 ,	  0001 ,    0382 ,  001.000 ,	 00005 ,    00021 ,	    00001 ,   004.091 ,  000.031 ,	   00007 ,	   00029 ,	 00000 ,    013.526 ,	 01028 ,    00000015 ,	   0000.00 ,	 0000.00 ,     00020
2019-05-21 19:15:57 ,  000001.186 ,   002.965 ,  0001.002 ,	 0100.010 ,	  0001 ,    0380 ,  001.000 ,	 00005 ,    00020 ,	    00001 ,   004.296 ,  000.033 ,	   00006 ,	   00027 ,	 00000 ,    013.528 ,	 01095 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00018
2019-05-21 19:16:57 ,  000001.088 ,   002.719 ,  0000.920 ,	 0091.390 ,	  0001 ,    0380 ,  001.000 ,	 00004 ,    00019 ,	    00000 ,   004.312 ,  000.010 ,	   00076 ,	   00328 ,	 00000 ,    013.528 ,	 01093 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00017
2019-05-21 19:17:57 ,  000000.239 ,   000.598 ,  0000.004 ,	 0091.800 ,	  0000 ,    0380 ,  000.000 ,	 00005 ,    00021 ,	    00001 ,   000.019 ,  000.000 ,	   00007 ,	   00028 ,	 00000 ,    013.528 ,	 01097 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00019
