BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-20 17:58:52 ,  000000.262 ,   000.655 ,  0000.053 ,	 0070.980 ,	  0000 ,    0299 ,  000.000 ,	 00129 ,    00037 ,	    00001 ,   000.021 ,  000.000 ,	   00183 ,	   00052 ,	 00003 ,    026.785 ,	 00078 ,    00000046 ,	   0000.03 ,	 0000.01 ,     00011
2019-05-20 17:59:52 ,  000000.649 ,   001.621 ,  0000.325 ,	 0046.960 ,	  0001 ,    0300 ,  000.000 ,	 00207 ,    00063 ,	    00001 ,   000.210 ,  000.002 ,	   00261 ,	   00079 ,	 00003 ,    026.768 ,	 00103 ,    00000530 ,	   0001.25 ,	 0000.38 ,     00025
2019-05-20 18:00:52 ,  000001.376 ,   003.438 ,  0001.100 ,	 0066.660 ,	  0002 ,    0299 ,  002.000 ,	 00663 ,    00217 ,	    00002 ,   000.541 ,  000.001 ,	   00368 ,	   00121 ,	 00003 ,    026.764 ,	 00092 ,    00000107 ,	   0000.06 ,	 0000.02 ,     00160
2019-05-20 18:01:52 ,  000000.548 ,   001.369 ,  0000.396 ,	 0099.770 ,	  0000 ,    0298 ,  000.000 ,	 00299 ,    01282 ,	    00014 ,   001.701 ,  000.000 ,	   00021 ,	   00091 ,	 00000 ,    026.764 ,	 01095 ,    00000010 ,	   0000.00 ,	 0000.01 ,     01237
2019-05-20 18:02:52 ,  000000.462 ,   001.154 ,  0000.228 ,	 0047.890 ,	  0000 ,    0298 ,  001.000 ,	 00111 ,    00053 ,	    00001 ,   000.228 ,  000.002 ,	   00157 ,	   00075 ,	 00002 ,    026.734 ,	 00132 ,    00000058 ,	   0000.02 ,	 0000.01 ,     00020
2019-05-20 18:03:52 ,  000000.590 ,   001.473 ,  0000.380 ,	 0049.610 ,	  0001 ,    0298 ,  000.000 ,	 00197 ,    00079 ,	    00001 ,   000.308 ,  000.002 ,	   00280 ,	   00113 ,	 00002 ,    026.734 ,	 00113 ,    00000081 ,	   0000.04 ,	 0000.02 ,     00024
2019-05-20 18:04:52 ,  000000.242 ,   000.604 ,  0000.005 ,	 0080.560 ,	  0000 ,    0300 ,  000.000 ,	 00021 ,    00085 ,	    00001 ,   000.023 ,  000.000 ,	   00016 ,	   00065 ,	 00000 ,    026.732 ,	 01119 ,    00000250 ,	   0000.02 ,	 0000.06 ,     00047
2019-05-20 18:05:52 ,  000000.368 ,   000.920 ,  0000.128 ,	 0097.470 ,	  0000 ,    0298 ,  000.000 ,	 00387 ,    00682 ,	    00001 ,   000.231 ,  000.000 ,	   00499 ,	   00881 ,	 00001 ,    026.731 ,	 00457 ,    00000159 ,	   0000.02 ,	 0000.04 ,     00024
2019-05-20 18:06:52 ,  000000.212 ,   000.529 ,  0000.015 ,	 0094.770 ,	  0000 ,    0298 ,  000.000 ,	 00020 ,    00087 ,	    00001 ,   000.068 ,  000.000 ,	   00031 ,	   00135 ,	 00000 ,    026.731 ,	 01094 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00050
2019-05-20 18:07:52 ,  000000.611 ,   001.527 ,  0000.210 ,	 0091.990 ,	  0000 ,    0299 ,  001.000 ,	 00047 ,    00178 ,	    00001 ,   000.858 ,  000.002 ,	   00036 ,	   00136 ,	 00000 ,    026.642 ,	 00965 ,    00000010 ,	   0000.00 ,	 0000.00 ,     00135
