BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-22 22:58:51 ,  000008.505 ,   021.259 ,  0000.999 ,	 0097.980 ,	  0001 ,    0240 ,  006.000 ,	 00003 ,    00012 ,	    00001 ,   004.369 ,  000.039 ,	   00003 ,	   00011 ,	 00000 ,    018.134 ,	 01096 ,    00000010 ,	   0000.00 ,	 0000.00 ,     00009
2019-05-22 22:59:51 ,  000006.501 ,   016.248 ,  0001.003 ,	 0099.560 ,	  0001 ,    0241 ,  006.000 ,	 00005 ,    00019 ,	    00001 ,   003.778 ,  000.026 ,	   00004 ,	   00014 ,	 00000 ,    018.132 ,	 00972 ,    00000022 ,	   0000.00 ,	 0000.00 ,     00018
2019-05-22 23:00:51 ,  000007.049 ,   017.618 ,  0001.553 ,	 0092.180 ,	  0002 ,    0241 ,  010.000 ,	 00283 ,    00652 ,	    00087 ,   003.889 ,  000.002 ,	   00003 ,	   00007 ,	 00000 ,    018.091 ,	 00743 ,    00003746 ,	   0001.44 ,	 0003.32 ,     00618
2019-05-22 23:01:51 ,  000005.068 ,   012.666 ,  0001.889 ,	 0099.710 ,	  0002 ,    0240 ,  001.000 ,	 00581 ,    02490 ,	    00186 ,   008.118 ,  000.001 ,	   00003 ,	   00013 ,	 00000 ,    018.110 ,	 01095 ,    00000009 ,	   0000.00 ,	 0000.00 ,     02488
2019-05-22 23:02:51 ,  000001.499 ,   003.747 ,  0001.002 ,	 0099.910 ,	  0001 ,    0240 ,  001.000 ,	 00007 ,    00028 ,	    00002 ,   004.301 ,  000.023 ,	   00003 ,	   00013 ,	 00000 ,    018.109 ,	 01115 ,    00000068 ,	   0000.00 ,	 0000.01 ,     00020
2019-05-22 23:03:51 ,  000001.530 ,   003.824 ,  0001.003 ,	 0098.010 ,	  0001 ,    0240 ,  001.000 ,	 00003 ,    00014 ,	    00001 ,   004.385 ,  000.036 ,	   00003 ,	   00014 ,	 00000 ,    018.110 ,	 01098 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00012
2019-05-22 23:04:51 ,  000001.574 ,   003.935 ,  0001.005 ,	 0099.940 ,	  0001 ,    0242 ,  002.000 ,	 00003 ,    00014 ,	    00001 ,   004.021 ,  000.034 ,	   00003 ,	   00014 ,	 00000 ,    018.108 ,	 01027 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00012
2019-05-22 23:05:51 ,  000001.763 ,   004.406 ,  0001.012 ,	 0100.000 ,	  0001 ,    0240 ,  001.000 ,	 00004 ,    00015 ,	    00001 ,   004.336 ,  000.034 ,	   00003 ,	   00013 ,	 00000 ,    018.109 ,	 01097 ,    00000012 ,	   0000.01 ,	 0000.02 ,     00012
2019-05-22 23:06:51 ,  000001.643 ,   004.106 ,  0001.002 ,	 0099.930 ,	  0001 ,    0240 ,  002.000 ,	 00003 ,    00013 ,	    00001 ,   004.300 ,  000.037 ,	   00003 ,	   00014 ,	 00000 ,    018.109 ,	 01096 ,    00000009 ,	   0000.00 ,	 0000.00 ,     00011
2019-05-22 23:07:51 ,  000001.572 ,   003.928 ,  0001.012 ,	 0099.880 ,	  0001 ,    0240 ,  001.000 ,	 00010 ,    00044 ,	    00003 ,   004.343 ,  000.021 ,	   00003 ,	   00014 ,	 00000 ,    018.103 ,	 01156 ,    00000136 ,	   0000.01 ,	 0000.02 ,     00038
2019-05-22 23:08:51 ,  000001.523 ,   003.807 ,  0001.004 ,	 0098.310 ,	  0001 ,    0240 ,  002.000 ,	 00003 ,    00015 ,	    00001 ,   004.378 ,  000.035 ,	   00003 ,	   00014 ,	 00000 ,    018.103 ,	 01096 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00013
