BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-24 05:58:20 ,  000008.159 ,   020.391 ,  0007.663 ,	 0059.200 ,	  0013 ,    0295 ,  002.000 ,	 00330 ,    00009 ,	    00001 ,   000.371 ,  000.022 ,	   00455 ,	   00013 ,	 00035 ,    015.996 ,	 00010 ,    00000151 ,	   0001.09 ,	 0000.03 ,     00000
2019-05-24 05:59:20 ,  000005.405 ,   013.510 ,  0004.067 ,	 0078.470 ,	  0005 ,    0304 ,  002.000 ,	 02026 ,    00018 ,	    00001 ,   000.046 ,  000.002 ,	   02450 ,	   00022 ,	 00112 ,    016.088 ,	 00006 ,    00000198 ,	   0005.15 ,	 0000.05 ,     00002
2019-05-24 06:00:20 ,  000009.892 ,   024.727 ,  0006.739 ,	 0084.420 ,	  0008 ,    0319 ,  011.000 ,	 14157 ,    00016 ,	    00001 ,   000.009 ,  000.000 ,	   17035 ,	   00020 ,	 00860 ,    016.052 ,	 00003 ,    00000016 ,	   0002.43 ,	 0000.00 ,     00001
2019-05-24 06:01:20 ,  000008.283 ,   020.702 ,  0004.300 ,	 0086.790 ,	  0005 ,    0310 ,  006.000 ,	 04259 ,    00019 ,	    00001 ,   000.022 ,  000.001 ,	   04445 ,	   00020 ,	 00223 ,    015.997 ,	 00004 ,    00000036 ,	   0001.80 ,	 0000.01 ,     00003
2019-05-24 06:02:20 ,  000003.026 ,   007.563 ,  0002.716 ,	 0092.950 ,	  0003 ,    0301 ,  004.000 ,	 00394 ,    00454 ,	    00026 ,   003.371 ,  000.002 ,	   00015 ,	   00018 ,	 00001 ,    016.017 ,	 00309 ,    00000672 ,	   0000.12 ,	 0000.14 ,     00432
2019-05-24 06:03:20 ,  000002.936 ,   007.339 ,  0002.596 ,	 0095.530 ,	  0003 ,    0295 ,  003.000 ,	 00048 ,    00017 ,	    00002 ,   000.959 ,  000.010 ,	   00025 ,	   00009 ,	 00003 ,    016.002 ,	 00105 ,    00001212 ,	   0000.70 ,	 0000.25 ,     00010
2019-05-24 06:04:20 ,  000005.063 ,   012.657 ,  0003.805 ,	 0095.630 ,	  0004 ,    0297 ,  006.000 ,	 00039 ,    00021 ,	    00002 ,   002.132 ,  000.019 ,	   00017 ,	   00009 ,	 00002 ,    015.946 ,	 00155 ,    00001444 ,	   0000.57 ,	 0000.31 ,     00013
2019-05-24 06:05:20 ,  000005.230 ,   013.074 ,  0003.838 ,	 0095.030 ,	  0004 ,    0310 ,  009.000 ,	 00019 ,    00018 ,	    00002 ,   003.908 ,  000.036 ,	   00011 ,	   00011 ,	 00001 ,    015.943 ,	 00264 ,    00001884 ,	   0000.39 ,	 0000.38 ,     00013
2019-05-24 06:06:20 ,  000012.445 ,   031.110 ,  0011.008 ,	 0095.920 ,	  0011 ,    0355 ,  013.000 ,	 00018 ,    00019 ,	    00001 ,   011.872 ,  000.100 ,	   00012 ,	   00013 ,	 00001 ,    015.904 ,	 00287 ,    00002828 ,	   0000.52 ,	 0000.54 ,     00013
2019-05-24 06:07:20 ,  000009.415 ,   023.533 ,  0008.506 ,	 0095.250 ,	  0009 ,    0295 ,  000.000 ,	 00010 ,    00018 ,	    00001 ,   015.767 ,  000.128 ,	   00010 ,	   00017 ,	 00001 ,    015.933 ,	 00576 ,    00030227 ,	   0003.41 ,	 0006.02 ,     00013
2019-05-24 06:08:20 ,  000007.365 ,   018.409 ,  0006.030 ,	 0093.520 ,	  0006 ,    0316 ,  003.000 ,	 00012 ,    00024 ,	    00001 ,   013.340 ,  000.089 ,	   00009 ,	   00018 ,	 00000 ,    015.900 ,	 00551 ,    00012132 ,	   0000.76 ,	 0001.57 ,     00019
2019-05-24 06:09:20 ,  000005.784 ,   014.458 ,  0004.474 ,	 0090.040 ,	  0005 ,    0321 ,  012.000 ,	 00048 ,    00151 ,	    00006 ,   015.694 ,  000.031 ,	   00008 ,	   00025 ,	 00000 ,    015.907 ,	 01293 ,    00088461 ,	   0005.33 ,	 0016.84 ,     00129
2019-05-24 06:10:20 ,  000008.872 ,   022.176 ,  0007.594 ,	 0097.540 ,	  0008 ,    0300 ,  005.000 ,	 00006 ,    00020 ,	    00001 ,   025.957 ,  000.185 ,	   00007 ,	   00024 ,	 00000 ,    015.925 ,	 00869 ,    00003728 ,	   0000.26 ,	 0000.86 ,     00018
