BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-23 14:58:26 ,  000000.542 ,   001.354 ,  0000.179 ,	 0087.090 ,	  0000 ,    0358 ,  000.000 ,	 00509 ,    00205 ,	    00001 ,   000.083 ,  000.000 ,	   01009 ,	   00407 ,	 00002 ,    013.865 ,	 00108 ,    00000064 ,	   0000.03 ,	 0000.01 ,     00019
2019-05-23 14:59:26 ,  000000.904 ,   002.261 ,  0000.572 ,	 0058.580 ,	  0001 ,    0360 ,  001.000 ,	 00870 ,    00094 ,	    00001 ,   000.106 ,  000.001 ,	   01415 ,	   00153 ,	 00009 ,    013.850 ,	 00033 ,    00000356 ,	   0000.58 ,	 0000.06 ,     00009
2019-05-23 15:00:26 ,  000003.475 ,   008.686 ,  0002.727 ,	 0047.820 ,	  0006 ,    0358 ,  004.000 ,	 10071 ,    00017 ,	    00001 ,   000.010 ,  000.000 ,	   12752 ,	   00022 ,	 00585 ,    013.880 ,	 00003 ,    00000008 ,	   0002.11 ,	 0000.00 ,     00001
2019-05-23 15:01:26 ,  000002.094 ,   005.233 ,  0001.745 ,	 0052.590 ,	  0003 ,    0359 ,  002.000 ,	 01133 ,    00202 ,	    00001 ,   000.593 ,  000.001 ,	   01265 ,	   00226 ,	 00006 ,    013.873 ,	 00050 ,    00000027 ,	   0000.03 ,	 0000.01 ,     00117
2019-05-23 15:02:26 ,  000001.114 ,   002.785 ,  0000.756 ,	 0078.540 ,	  0001 ,    0358 ,  000.000 ,	 00590 ,    00467 ,	    00001 ,   000.760 ,  000.001 ,	   00671 ,	   00530 ,	 00001 ,    013.873 ,	 00206 ,    00000038 ,	   0000.01 ,	 0000.01 ,     00324
2019-05-23 15:03:26 ,  000000.527 ,   001.317 ,  0000.218 ,	 0086.600 ,	  0000 ,    0358 ,  001.000 ,	 00183 ,    00689 ,	    00000 ,   000.945 ,  000.000 ,	   00603 ,	   02266 ,	 00000 ,    013.868 ,	 00981 ,    00000063 ,	   0000.00 ,	 0000.01 ,     00135
2019-05-23 15:04:26 ,  000000.410 ,   001.026 ,  0000.133 ,	 0092.180 ,	  0000 ,    0360 ,  000.000 ,	 00303 ,    00778 ,	    00000 ,   000.371 ,  000.000 ,	   00749 ,	   01923 ,	 00000 ,    013.870 ,	 00663 ,    00000069 ,	   0000.01 ,	 0000.02 ,     00099
2019-05-23 15:05:25 ,  000000.580 ,   001.449 ,  0000.188 ,	 0070.600 ,	  0000 ,    0358 ,  000.000 ,	 00342 ,    00194 ,	    00000 ,   000.151 ,  000.000 ,	   00842 ,	   00477 ,	 00002 ,    013.877 ,	 00150 ,    00000031 ,	   0000.02 ,	 0000.01 ,     00040
2019-05-23 15:06:25 ,  000000.596 ,   001.490 ,  0000.289 ,	 0068.940 ,	  0000 ,    0358 ,  001.000 ,	 00443 ,    00229 ,	    00000 ,   000.217 ,  000.000 ,	   00965 ,	   00499 ,	 00002 ,    013.876 ,	 00137 ,    00000041 ,	   0000.02 ,	 0000.01 ,     00045
2019-05-23 15:07:26 ,  000000.770 ,   001.926 ,  0000.407 ,	 0055.770 ,	  0001 ,    0358 ,  001.000 ,	 00648 ,    00389 ,	    00001 ,   000.438 ,  000.001 ,	   01235 ,	   00741 ,	 00002 ,    013.875 ,	 00159 ,    00000076 ,	   0000.02 ,	 0000.01 ,     00074
2019-05-23 15:08:26 ,  000000.554 ,   001.385 ,  0000.214 ,	 0060.420 ,	  0000 ,    0358 ,  000.000 ,	 00342 ,    00127 ,	    00000 ,   000.131 ,  000.000 ,	   00863 ,	   00320 ,	 00003 ,    013.875 ,	 00108 ,    00000059 ,	   0000.03 ,	 0000.01 ,     00031
2019-05-23 15:09:26 ,  000000.402 ,   001.005 ,  0000.117 ,	 0096.530 ,	  0000 ,    0360 ,  000.000 ,	 00097 ,    00344 ,	    00000 ,   000.428 ,  000.000 ,	   00504 ,	   01779 ,	 00000 ,    013.865 ,	 00908 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00099
2019-05-23 15:10:26 ,  000000.446 ,   001.115 ,  0000.154 ,	 0086.400 ,	  0000 ,    0359 ,  002.000 ,	 00154 ,    00116 ,	    00000 ,   000.134 ,  000.000 ,	   00561 ,	   00421 ,	 00001 ,    013.868 ,	 00197 ,    00000021 ,	   0000.01 ,	 0000.01 ,     00035
2019-05-23 15:11:26 ,  000001.744 ,   004.359 ,  0001.507 ,	 0078.700 ,	  0002 ,    0359 ,  002.000 ,	 00810 ,    00973 ,	    00001 ,   002.297 ,  000.001 ,	   00739 ,	   00887 ,	 00001 ,    013.868 ,	 00315 ,    00000055 ,	   0000.01 ,	 0000.01 ,     00732
2019-05-23 15:12:26 ,  000001.389 ,   003.473 ,  0001.052 ,	 0073.600 ,	  0001 ,    0361 ,  001.000 ,	 01280 ,    00640 ,	    00001 ,   000.715 ,  000.001 ,	   01736 ,	   00868 ,	 00002 ,    013.837 ,	 00136 ,    00000162 ,	   0000.05 ,	 0000.03 ,     00218
2019-05-23 15:13:26 ,  000001.019 ,   002.547 ,  0000.531 ,	 0078.500 ,	  0001 ,    0361 ,  001.000 ,	 00967 ,    00290 ,	    00000 ,   000.203 ,  000.000 ,	   03617 ,	   01086 ,	 00003 ,    013.821 ,	 00084 ,    00000146 ,	   0000.09 ,	 0000.03 ,     00033
