BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-24 08:58:20 ,  000003.831 ,   009.576 ,  0003.492 ,	 0094.390 ,	  0004 ,    0429 ,  003.000 ,	 00156 ,    00098 ,	    00000 ,   002.312 ,  000.003 ,	   01412 ,	   00882 ,	 00002 ,    013.250 ,	 00166 ,    00000078 ,	   0000.02 ,	 0000.01 ,     00031
2019-05-24 08:59:20 ,  000004.607 ,   011.515 ,  0003.931 ,	 0083.650 ,	  0005 ,    0440 ,  006.000 ,	 02293 ,    00019 ,	    00001 ,   000.039 ,  000.001 ,	   04095 ,	   00034 ,	 00120 ,    013.200 ,	 00006 ,    00000048 ,	   0002.31 ,	 0000.02 ,     00003
2019-05-24 09:00:20 ,  000008.084 ,   020.206 ,  0007.177 ,	 0081.230 ,	  0009 ,    0441 ,  007.000 ,	 14534 ,    00017 ,	    00001 ,   000.010 ,  000.000 ,	   18779 ,	   00022 ,	 00866 ,    013.086 ,	 00003 ,    00000004 ,	   0000.55 ,	 0000.00 ,     00001
2019-05-24 09:01:20 ,  000006.171 ,   015.425 ,  0005.710 ,	 0081.770 ,	  0007 ,    0430 ,  006.000 ,	 03854 ,    00019 ,	    00001 ,   000.035 ,  000.001 ,	   05378 ,	   00027 ,	 00201 ,    013.001 ,	 00004 ,    00000010 ,	   0000.40 ,	 0000.00 ,     00003
2019-05-24 09:02:20 ,  000005.324 ,   013.305 ,  0005.010 ,	 0092.520 ,	  0005 ,    0429 ,  004.000 ,	 00587 ,    00518 ,	    00000 ,   004.780 ,  000.002 ,	   01263 ,	   01115 ,	 00001 ,    012.936 ,	 00236 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00484
2019-05-24 09:03:20 ,  000004.276 ,   010.689 ,  0004.000 ,	 0086.470 ,	  0005 ,    0429 ,  004.000 ,	 00380 ,    00139 ,	    00000 ,   001.693 ,  000.003 ,	   01726 ,	   00632 ,	 00003 ,    012.904 ,	 00104 ,    00000071 ,	   0000.04 ,	 0000.01 ,     00045
2019-05-24 09:04:20 ,  000003.792 ,   009.477 ,  0003.457 ,	 0089.590 ,	  0004 ,    0431 ,  004.000 ,	 00333 ,    00667 ,	    00000 ,   007.719 ,  000.002 ,	   01660 ,	   03320 ,	 00000 ,    012.886 ,	 00541 ,    00000116 ,	   0000.01 ,	 0000.02 ,     00142
2019-05-24 09:05:20 ,  000003.374 ,   008.434 ,  0003.059 ,	 0078.090 ,	  0004 ,    0429 ,  003.000 ,	 00029 ,    00107 ,	    00000 ,   014.691 ,  000.003 ,	   01231 ,	   04618 ,	 00000 ,    012.907 ,	 00966 ,    00000010 ,	   0000.00 ,	 0000.00 ,     00047
2019-05-24 09:06:20 ,  000003.413 ,   008.531 ,  0003.078 ,	 0070.610 ,	  0004 ,    0429 ,  003.000 ,	 00212 ,    00708 ,	    00000 ,   014.530 ,  000.003 ,	   01428 ,	   04759 ,	 00000 ,    014.155 ,	 00874 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00123
2019-05-24 09:07:20 ,  000003.829 ,   009.571 ,  0003.477 ,	 0075.520 ,	  0005 ,    0429 ,  004.000 ,	 00249 ,    00748 ,	    00000 ,   013.817 ,  000.003 ,	   01464 ,	   04393 ,	 00000 ,    014.165 ,	 00793 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00106
