BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-23 23:58:26 ,  000001.995 ,   004.986 ,  0001.002 ,	 0099.910 ,	  0001 ,    0224 ,  002.000 ,	 00005 ,    00023 ,	    00001 ,   004.630 ,  000.035 ,	   00006 ,	   00026 ,	 00000 ,    019.723 ,	 01179 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00012
2019-05-23 23:59:26 ,  000001.635 ,   004.087 ,  0001.001 ,	 0099.820 ,	  0001 ,    0226 ,  001.000 ,	 00029 ,    00064 ,	    00007 ,   002.229 ,  000.009 ,	   00004 ,	   00009 ,	 00000 ,    019.695 ,	 00729 ,    00003618 ,	   0001.44 ,	 0003.21 ,     00040
2019-05-24 00:00:26 ,  000006.130 ,   015.324 ,  0005.407 ,	 0050.290 ,	  0011 ,    0387 ,  019.000 ,	 00606 ,    00149 ,	    00001 ,   002.650 ,  000.002 ,	   00430 ,	   00106 ,	 00004 ,    019.336 ,	 00159 ,    00000383 ,	   0000.25 ,	 0000.06 ,     00043
2019-05-24 00:01:26 ,  000017.692 ,   044.215 ,  0016.371 ,	 0040.080 ,	  0041 ,    0306 ,  072.000 ,	 01461 ,    00206 ,	    00002 ,   005.768 ,  000.004 ,	   00733 ,	   00104 ,	 00007 ,    019.215 ,	 00123 ,    00000346 ,	   0000.39 ,	 0000.06 ,     00106
2019-05-24 00:02:25 ,  000019.856 ,   049.651 ,  0019.733 ,	 0039.640 ,	  0050 ,    0225 ,  027.000 ,	 01154 ,    00223 ,	    00002 ,   009.604 ,  000.005 ,	   00688 ,	   00133 ,	 00005 ,    019.210 ,	 00151 ,    00000422 ,	   0000.35 ,	 0000.07 ,     00128
2019-05-24 00:03:25 ,  000009.270 ,   023.176 ,  0008.509 ,	 0039.170 ,	  0022 ,    0225 ,  002.000 ,	 01982 ,    00137 ,	    00003 ,   001.505 ,  000.002 ,	   00752 ,	   00052 ,	 00014 ,    019.145 ,	 00076 ,    00000279 ,	   0000.65 ,	 0000.05 ,     00028
2019-05-24 00:04:26 ,  000027.949 ,   069.862 ,  0026.200 ,	 0043.570 ,	  0060 ,    0307 ,  031.000 ,	 00408 ,    00154 ,	    00001 ,   022.739 ,  000.015 ,	   00427 ,	   00161 ,	 00003 ,    019.080 ,	 00208 ,    00000411 ,	   0000.18 ,	 0000.07 ,     00052
2019-05-24 00:05:26 ,  000020.880 ,   052.195 ,  0019.331 ,	 0030.360 ,	  0064 ,    0225 ,  010.000 ,	 00325 ,    00216 ,	    00001 ,   042.396 ,  000.016 ,	   00530 ,	   00353 ,	 00002 ,    019.133 ,	 00428 ,    00000628 ,	   0000.16 ,	 0000.10 ,     00093
2019-05-24 00:06:26 ,  000012.989 ,   032.475 ,  0010.667 ,	 0028.410 ,	  0038 ,    0225 ,  012.000 ,	 01070 ,    00160 ,	    00001 ,   005.604 ,  000.004 ,	   00973 ,	   00145 ,	 00007 ,    018.936 ,	 00151 ,    00000391 ,	   0000.42 ,	 0000.06 ,     00048
2019-05-24 00:07:26 ,  000014.083 ,   035.184 ,  0011.175 ,	 0047.920 ,	  0023 ,    0305 ,  062.000 ,	 01904 ,    00133 ,	    00002 ,   001.634 ,  000.002 ,	   00776 ,	   00054 ,	 00014 ,    018.762 ,	 00075 ,    00000232 ,	   0000.54 ,	 0000.04 ,     00029
