BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-20 22:58:53 ,  000000.951 ,   002.376 ,  0000.001 ,	 0063.890 ,	  0000 ,    0277 ,  001.000 ,	 00005 ,    00012 ,	    00002 ,   000.003 ,  000.000 ,	   00003 ,	   00006 ,	 00000 ,    017.008 ,	 00549 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00005
2019-05-20 22:59:53 ,  000001.072 ,   002.679 ,  0000.003 ,	 0014.000 ,	  0000 ,    0279 ,  001.000 ,	 00032 ,    00047 ,	    00008 ,   000.035 ,  000.000 ,	   00004 ,	   00006 ,	 00001 ,    016.987 ,	 00472 ,    00002127 ,	   0001.31 ,	 0001.92 ,     00028
2019-05-20 23:00:53 ,  000001.691 ,   004.225 ,  0000.735 ,	 0079.730 ,	  0001 ,    0279 ,  002.000 ,	 00486 ,    01041 ,	    00148 ,   001.977 ,  000.001 ,	   00003 ,	   00007 ,	 00000 ,    016.988 ,	 00550 ,    00000006 ,	   0000.00 ,	 0000.00 ,     01035
2019-05-20 23:01:53 ,  000001.162 ,   002.903 ,  0000.213 ,	 0099.150 ,	  0000 ,    0278 ,  001.000 ,	 00221 ,    00474 ,	    00073 ,   000.459 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.988 ,	 00551 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00468
2019-05-20 23:02:53 ,  000001.000 ,   002.499 ,  0000.002 ,	 0075.230 ,	  0000 ,    0278 ,  001.000 ,	 00006 ,    00012 ,	    00002 ,   000.007 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.991 ,	 00551 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00006
2019-05-20 23:03:53 ,  000000.992 ,   002.479 ,  0000.002 ,	 0075.390 ,	  0000 ,    0278 ,  001.000 ,	 00005 ,    00012 ,	    00002 ,   000.007 ,  000.000 ,	   00003 ,	   00006 ,	 00000 ,    016.991 ,	 00548 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00005
2019-05-20 23:04:53 ,  000001.040 ,   002.600 ,  0000.004 ,	 0017.770 ,	  0000 ,    0280 ,  001.000 ,	 00012 ,    00024 ,	    00003 ,   000.045 ,  000.000 ,	   00004 ,	   00008 ,	 00000 ,    016.991 ,	 00560 ,    00000066 ,	   0000.01 ,	 0000.02 ,     00017
2019-05-20 23:05:53 ,  000000.993 ,   002.482 ,  0000.011 ,	 0090.890 ,	  0000 ,    0278 ,  001.000 ,	 00008 ,    00017 ,	    00002 ,   000.026 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.988 ,	 00549 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00009
2019-05-20 23:06:53 ,  000000.973 ,   002.432 ,  0000.002 ,	 0070.600 ,	  0000 ,    0278 ,  001.000 ,	 00006 ,    00014 ,	    00002 ,   000.007 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.988 ,	 00551 ,    00000006 ,	   0000.00 ,	 0000.00 ,     00007
2019-05-20 23:07:53 ,  000001.015 ,   002.537 ,  0000.014 ,	 0095.700 ,	  0000 ,    0278 ,  001.000 ,	 00009 ,    00019 ,	    00003 ,   000.031 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.985 ,	 00551 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00013
2019-05-20 23:08:53 ,  000000.984 ,   002.458 ,  0000.001 ,	 0047.980 ,	  0000 ,    0278 ,  001.000 ,	 00006 ,    00011 ,	    00002 ,   000.004 ,  000.000 ,	   00003 ,	   00006 ,	 00000 ,    016.985 ,	 00530 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00005
2019-05-20 23:09:53 ,  000000.971 ,   002.427 ,  0000.004 ,	 0018.130 ,	  0000 ,    0280 ,  001.000 ,	 00007 ,    00015 ,	    00002 ,   000.049 ,  000.000 ,	   00004 ,	   00008 ,	 00000 ,    016.987 ,	 00563 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00009
2019-05-20 23:10:53 ,  000001.678 ,   004.194 ,  0000.715 ,	 0080.230 ,	  0001 ,    0278 ,  002.000 ,	 00462 ,    00990 ,	    00142 ,   001.909 ,  000.001 ,	   00003 ,	   00007 ,	 00000 ,    016.991 ,	 00550 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00984
2019-05-20 23:11:53 ,  000001.163 ,   002.906 ,  0000.257 ,	 0099.400 ,	  0000 ,    0277 ,  001.000 ,	 00245 ,    00545 ,	    00080 ,   000.573 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.991 ,	 00572 ,    00000008 ,	   0000.00 ,	 0000.00 ,     00538
2019-05-20 23:12:53 ,  000000.986 ,   002.463 ,  0000.002 ,	 0078.540 ,	  0000 ,    0277 ,  001.000 ,	 00006 ,    00012 ,	    00002 ,   000.006 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.991 ,	 00551 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00006
2019-05-20 23:13:53 ,  000000.978 ,   002.445 ,  0000.002 ,	 0077.790 ,	  0000 ,    0277 ,  001.000 ,	 00006 ,    00013 ,	    00002 ,   000.006 ,  000.000 ,	   00003 ,	   00006 ,	 00000 ,    016.986 ,	 00548 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00006
2019-05-20 23:14:53 ,  000000.981 ,   002.451 ,  0000.003 ,	 0013.060 ,	  0000 ,    0279 ,  001.000 ,	 00006 ,    00014 ,	    00002 ,   000.047 ,  000.000 ,	   00004 ,	   00008 ,	 00000 ,    016.983 ,	 00554 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00008
2019-05-20 23:15:53 ,  000000.979 ,   002.447 ,  0000.001 ,	 0063.890 ,	  0000 ,    0277 ,  001.000 ,	 00005 ,    00012 ,	    00002 ,   000.003 ,  000.000 ,	   00003 ,	   00006 ,	 00000 ,    016.986 ,	 00549 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00005
2019-05-20 23:16:53 ,  000001.014 ,   002.534 ,  0000.020 ,	 0060.730 ,	  0000 ,    0257 ,  001.000 ,	 00084 ,    00092 ,	    00028 ,   000.036 ,  000.000 ,	   00003 ,	   00003 ,	 00001 ,    017.004 ,	 00310 ,    00000469 ,	   0000.05 ,	 0000.06 ,     00058
2019-05-20 23:17:53 ,  000001.219 ,   003.046 ,  0000.004 ,	 0118.440 ,	  0000 ,    0257 ,  001.000 ,	 00003 ,    00014 ,	    00001 ,   000.015 ,  000.000 ,	   00003 ,	   00013 ,	 00000 ,    017.004 ,	 01182 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00012
2019-05-20 23:18:53 ,  000000.926 ,   002.314 ,  0000.002 ,	 0120.270 ,	  0000 ,    0257 ,  001.000 ,	 00003 ,    00012 ,	    00001 ,   000.008 ,  000.000 ,	   00003 ,	   00012 ,	 00000 ,    017.004 ,	 01178 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00010
2019-05-20 23:19:53 ,  000000.849 ,   002.122 ,  0000.005 ,	 0022.000 ,	  0000 ,    0257 ,  001.000 ,	 00018 ,    00076 ,	    00005 ,   000.096 ,  000.000 ,	   00003 ,	   00015 ,	 00000 ,    017.002 ,	 01190 ,    00000234 ,	   0000.01 ,	 0000.03 ,     00061
2019-05-20 23:20:53 ,  000002.165 ,   005.410 ,  0000.771 ,	 0082.790 ,	  0001 ,    0258 ,  002.000 ,	 00487 ,    02248 ,	    00124 ,   004.302 ,  000.001 ,	   00004 ,	   00018 ,	 00000 ,    017.002 ,	 01188 ,    00000012 ,	   0000.00 ,	 0000.00 ,     02246
2019-05-20 23:21:53 ,  000001.397 ,   003.492 ,  0000.241 ,	 0099.130 ,	  0000 ,    0257 ,  001.000 ,	 00219 ,    01009 ,	    00055 ,   001.120 ,  000.000 ,	   00004 ,	   00018 ,	 00000 ,    016.984 ,	 01184 ,    00000009 ,	   0000.00 ,	 0000.00 ,     01006
2019-05-20 23:22:53 ,  000001.085 ,   002.711 ,  0000.010 ,	 0086.970 ,	  0000 ,    0255 ,  001.000 ,	 00003 ,    00016 ,	    00001 ,   000.055 ,  000.000 ,	   00004 ,	   00016 ,	 00000 ,    016.985 ,	 01183 ,    00000010 ,	   0000.00 ,	 0000.00 ,     00013
2019-05-20 23:23:53 ,  000001.095 ,   002.737 ,  0000.003 ,	 0061.220 ,	  0000 ,    0255 ,  001.000 ,	 00004 ,    00018 ,	    00001 ,   000.020 ,  000.000 ,	   00003 ,	   00015 ,	 00000 ,    016.985 ,	 01179 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00015
2019-05-20 23:24:53 ,  000001.097 ,   002.741 ,  0000.030 ,	 0038.450 ,	  0000 ,    0257 ,  001.000 ,	 00005 ,    00020 ,	    00001 ,   000.331 ,  000.002 ,	   00005 ,	   00019 ,	 00000 ,    016.983 ,	 01108 ,    00000019 ,	   0000.00 ,	 0000.01 ,     00018
2019-05-20 23:25:53 ,  000001.062 ,   002.654 ,  0000.002 ,	 0105.560 ,	  0000 ,    0255 ,  001.000 ,	 00003 ,    00012 ,	    00001 ,   000.010 ,  000.000 ,	   00003 ,	   00013 ,	 00000 ,    016.985 ,	 01178 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00010
2019-05-20 23:26:53 ,  000001.828 ,   004.569 ,  0000.003 ,	 0085.810 ,	  0000 ,    0255 ,  003.000 ,	 00003 ,    00016 ,	    00001 ,   000.014 ,  000.000 ,	   00003 ,	   00013 ,	 00000 ,    016.985 ,	 01183 ,    00000009 ,	   0000.00 ,	 0000.00 ,     00014
2019-05-20 23:27:53 ,  000003.158 ,   007.893 ,  0000.003 ,	 0080.410 ,	  0000 ,    0255 ,  003.000 ,	 00003 ,    00015 ,	    00001 ,   000.019 ,  000.000 ,	   00003 ,	   00014 ,	 00000 ,    016.985 ,	 01281 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00012
2019-05-20 23:28:53 ,  000003.118 ,   007.793 ,  0000.014 ,	 0099.780 ,	  0000 ,    0257 ,  003.000 ,	 00104 ,    00259 ,	    00038 ,   000.035 ,  000.000 ,	   00003 ,	   00007 ,	 00000 ,    016.963 ,	 00670 ,    00000063 ,	   0000.00 ,	 0000.01 ,     00025
2019-05-20 23:29:53 ,  000003.245 ,   008.111 ,  0000.006 ,	 0025.430 ,	  0000 ,    0257 ,  004.000 ,	 00005 ,    00019 ,	    00001 ,   000.090 ,  000.001 ,	   00004 ,	   00014 ,	 00000 ,    016.963 ,	 01051 ,    00000023 ,	   0000.00 ,	 0000.01 ,     00018
2019-05-20 23:30:53 ,  000005.130 ,   012.821 ,  0000.717 ,	 0083.440 ,	  0001 ,    0256 ,  005.000 ,	 00429 ,    01979 ,	    00135 ,   003.964 ,  000.001 ,	   00003 ,	   00015 ,	 00000 ,    016.965 ,	 01179 ,    00000008 ,	   0000.00 ,	 0000.00 ,     01977
2019-05-20 23:31:53 ,  000004.670 ,   011.673 ,  0000.317 ,	 0099.660 ,	  0000 ,    0255 ,  004.000 ,	 00274 ,    01262 ,	    00089 ,   001.466 ,  000.000 ,	   00003 ,	   00014 ,	 00000 ,    016.965 ,	 01185 ,    00000012 ,	   0000.00 ,	 0000.00 ,     01260
