BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-20 10:58:52 ,  000000.335 ,   000.838 ,  0000.131 ,	 0090.830 ,	  0000 ,    0254 ,  000.000 ,	 00201 ,    00091 ,	    00001 ,   000.065 ,  000.000 ,	   00290 ,	   00132 ,	 00002 ,    052.872 ,	 00120 ,    00000029 ,	   0000.01 ,	 0000.01 ,     00029
2019-05-20 10:59:52 ,  000000.390 ,   000.975 ,  0000.092 ,	 0089.750 ,	  0000 ,    0256 ,  000.000 ,	 00300 ,    00473 ,	    00001 ,   000.161 ,  000.000 ,	   00359 ,	   00567 ,	 00001 ,    052.854 ,	 00505 ,    00002530 ,	   0001.26 ,	 0002.00 ,     00084
2019-05-20 11:00:52 ,  000001.050 ,   002.625 ,  0000.818 ,	 0085.390 ,	  0001 ,    0255 ,  001.000 ,	 00661 ,    00661 ,	    00003 ,   000.959 ,  000.001 ,	   00249 ,	   00249 ,	 00001 ,    052.856 ,	 00264 ,    00000183 ,	   0000.03 ,	 0000.03 ,     00482
2019-05-20 11:01:52 ,  000000.594 ,   001.484 ,  0000.393 ,	 0098.820 ,	  0000 ,    0254 ,  000.000 ,	 00429 ,    00330 ,	    00002 ,   000.306 ,  000.000 ,	   00276 ,	   00213 ,	 00001 ,    052.815 ,	 00202 ,    00000036 ,	   0000.01 ,	 0000.01 ,     00201
2019-05-20 11:02:52 ,  000000.300 ,   000.750 ,  0000.107 ,	 0086.190 ,	  0000 ,    0254 ,  000.000 ,	 00209 ,    00299 ,	    00001 ,   000.178 ,  000.000 ,	   00254 ,	   00363 ,	 00001 ,    052.751 ,	 00374 ,    00000246 ,	   0000.03 ,	 0000.04 ,     00043
2019-05-20 11:03:52 ,  000000.438 ,   001.094 ,  0000.214 ,	 0083.640 ,	  0000 ,    0254 ,  000.000 ,	 00469 ,    00168 ,	    00001 ,   000.091 ,  000.000 ,	   00609 ,	   00218 ,	 00003 ,    052.741 ,	 00096 ,    00000043 ,	   0000.02 ,	 0000.01 ,     00037
2019-05-20 11:04:52 ,  000000.370 ,   000.925 ,  0000.135 ,	 0062.930 ,	  0000 ,    0256 ,  000.000 ,	 00411 ,    00312 ,	    00001 ,   000.162 ,  000.000 ,	   00465 ,	   00354 ,	 00001 ,    052.737 ,	 00224 ,    00000234 ,	   0000.05 ,	 0000.04 ,     00048
2019-05-20 11:05:52 ,  000000.384 ,   000.960 ,  0000.166 ,	 0090.170 ,	  0000 ,    0254 ,  000.000 ,	 00243 ,    00810 ,	    00001 ,   000.613 ,  000.001 ,	   00325 ,	   01085 ,	 00000 ,    052.739 ,	 00859 ,    00000018 ,	   0000.00 ,	 0000.01 ,     00210
2019-05-20 11:06:52 ,  000000.307 ,   000.768 ,  0000.089 ,	 0094.800 ,	  0000 ,    0254 ,  000.000 ,	 00384 ,    01048 ,	    00001 ,   000.256 ,  000.000 ,	   00448 ,	   01222 ,	 00000 ,    052.737 ,	 00699 ,    00000057 ,	   0000.00 ,	 0000.01 ,     00101
2019-05-20 11:07:52 ,  000000.441 ,   001.103 ,  0000.172 ,	 0083.860 ,	  0000 ,    0254 ,  000.000 ,	 00234 ,    00702 ,	    00001 ,   000.617 ,  000.001 ,	   00315 ,	   00945 ,	 00000 ,    052.661 ,	 00774 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00177
