BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-20 19:58:53 ,  000000.416 ,   001.041 ,  0000.211 ,	 0094.780 ,	  0000 ,    0305 ,  000.000 ,	 00515 ,    00016 ,	    00001 ,   000.007 ,  000.000 ,	   00718 ,	   00022 ,	 00032 ,    025.048 ,	 00010 ,    00000004 ,	   0000.04 ,	 0000.00 ,     00000
2019-05-20 19:59:53 ,  000001.123 ,   002.808 ,  0000.782 ,	 0095.980 ,	  0001 ,    0307 ,  004.000 ,	 02020 ,    00019 ,	    00001 ,   000.008 ,  000.000 ,	   02716 ,	   00025 ,	 00109 ,    024.986 ,	 00005 ,    00000018 ,	   0001.32 ,	 0000.01 ,     00001
2019-05-20 20:00:53 ,  000001.354 ,   003.383 ,  0001.087 ,	 0087.560 ,	  0001 ,    0306 ,  002.000 ,	 01343 ,    00024 ,	    00001 ,   000.022 ,  000.000 ,	   01282 ,	   00023 ,	 00056 ,    024.988 ,	 00007 ,    00000004 ,	   0000.07 ,	 0000.00 ,     00008
2019-05-20 20:01:53 ,  000000.488 ,   001.221 ,  0000.329 ,	 0100.360 ,	  0000 ,    0305 ,  000.000 ,	 00324 ,    00325 ,	    00004 ,   000.328 ,  000.000 ,	   00075 ,	   00075 ,	 00001 ,    024.988 ,	 00260 ,    00000044 ,	   0000.01 ,	 0000.01 ,     00287
2019-05-20 20:02:53 ,  000001.415 ,   003.537 ,  0001.109 ,	 0093.690 ,	  0001 ,    0306 ,  000.000 ,	 02884 ,    00018 ,	    00001 ,   000.007 ,  000.000 ,	   03941 ,	   00024 ,	 00163 ,    024.921 ,	 00004 ,    00000005 ,	   0000.21 ,	 0000.00 ,     00001
2019-05-20 20:03:53 ,  000000.195 ,   000.487 ,  0000.007 ,	 0109.770 ,	  0000 ,    0306 ,  000.000 ,	 00014 ,    00039 ,	    00001 ,   000.018 ,  000.000 ,	   00020 ,	   00056 ,	 00000 ,    024.921 ,	 00698 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00018
2019-05-20 20:04:53 ,  000001.207 ,   003.017 ,  0000.879 ,	 0095.140 ,	  0001 ,    0308 ,  004.000 ,	 02255 ,    00018 ,	    00001 ,   000.008 ,  000.000 ,	   03066 ,	   00025 ,	 00123 ,    024.856 ,	 00004 ,    00000005 ,	   0000.17 ,	 0000.00 ,     00001
2019-05-20 20:05:53 ,  000000.494 ,   001.236 ,  0000.263 ,	 0095.960 ,	  0000 ,    0306 ,  000.000 ,	 00648 ,    00016 ,	    00001 ,   000.007 ,  000.000 ,	   00892 ,	   00022 ,	 00041 ,    024.858 ,	 00008 ,    00000004 ,	   0000.05 ,	 0000.00 ,     00000
2019-05-20 20:06:53 ,  000000.196 ,   000.489 ,  0000.002 ,	 0090.290 ,	  0000 ,    0306 ,  000.000 ,	 00004 ,    00016 ,	    00001 ,   000.010 ,  000.000 ,	   00005 ,	   00020 ,	 00000 ,    024.858 ,	 01094 ,    00000006 ,	   0000.00 ,	 0000.00 ,     00014
2019-05-20 20:07:53 ,  000000.240 ,   000.600 ,  0000.008 ,	 0094.740 ,	  0000 ,    0306 ,  000.000 ,	 00004 ,    00017 ,	    00001 ,   000.037 ,  000.000 ,	   00008 ,	   00034 ,	 00000 ,    024.858 ,	 01095 ,    00000008 ,	   0000.00 ,	 0000.01 ,     00015
2019-05-20 20:08:53 ,  000000.189 ,   000.472 ,  0000.005 ,	 0019.610 ,	  0000 ,    0306 ,  000.000 ,	 00004 ,    00017 ,	    00001 ,   000.102 ,  000.001 ,	   00005 ,	   00021 ,	 00000 ,    024.858 ,	 01103 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00016
