BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-23 08:58:26 ,  000007.995 ,   019.988 ,  0000.180 ,	 0081.450 ,	  0000 ,    0392 ,  007.000 ,	 00987 ,    00146 ,	    00004 ,   000.033 ,  000.000 ,	   00279 ,	   00041 ,	 00007 ,    016.145 ,	 00061 ,    00000220 ,	   0000.48 ,	 0000.07 ,     00032
2019-05-23 08:59:26 ,  000009.419 ,   023.545 ,  0000.688 ,	 0067.270 ,	  0001 ,    0405 ,  017.000 ,	 04287 ,    00042 ,	    00002 ,   000.010 ,  000.000 ,	   02528 ,	   00025 ,	 00103 ,    015.389 ,	 00006 ,    00000067 ,	   0002.29 ,	 0000.02 ,     00008
2019-05-23 09:00:26 ,  000013.730 ,   034.323 ,  0003.396 ,	 0079.410 ,	  0004 ,    0406 ,  015.000 ,	 12898 ,    00018 ,	    00001 ,   000.006 ,  000.000 ,	   14915 ,	   00021 ,	 00704 ,    015.064 ,	 00003 ,    00000009 ,	   0001.95 ,	 0000.00 ,     00002
2019-05-23 09:01:26 ,  000009.991 ,   024.973 ,  0003.023 ,	 0081.210 ,	  0004 ,    0392 ,  008.000 ,	 07883 ,    00020 ,	    00001 ,   000.009 ,  000.000 ,	   09032 ,	   00023 ,	 00395 ,    015.058 ,	 00003 ,    00000007 ,	   0000.55 ,	 0000.00 ,     00003
2019-05-23 09:02:26 ,  000007.017 ,   017.540 ,  0000.500 ,	 0093.950 ,	  0001 ,    0391 ,  006.000 ,	 00602 ,    00105 ,	    00002 ,   000.093 ,  000.000 ,	   00369 ,	   00064 ,	 00006 ,    015.052 ,	 00050 ,    00000014 ,	   0000.02 ,	 0000.00 ,     00060
2019-05-23 09:03:26 ,  000007.465 ,   018.661 ,  0000.540 ,	 0065.680 ,	  0001 ,    0402 ,  007.000 ,	 00705 ,    00112 ,	    00001 ,   000.131 ,  000.000 ,	   00753 ,	   00120 ,	 00006 ,    015.019 ,	 00048 ,    00000021 ,	   0000.03 ,	 0000.01 ,     00013
2019-05-23 09:04:26 ,  000007.010 ,   017.523 ,  0000.364 ,	 0033.990 ,	  0001 ,    0404 ,  008.000 ,	 00290 ,    00046 ,	    00001 ,   000.169 ,  000.000 ,	   00305 ,	   00048 ,	 00006 ,    015.014 ,	 00046 ,    00000013 ,	   0000.02 ,	 0000.00 ,     00006
2019-05-23 09:05:26 ,  000006.132 ,   015.324 ,  0000.953 ,	 0081.610 ,	  0001 ,    0402 ,  007.000 ,	 00636 ,    00079 ,	    00001 ,   000.145 ,  000.000 ,	   00638 ,	   00079 ,	 00008 ,    014.981 ,	 00038 ,    00000011 ,	   0000.02 ,	 0000.00 ,     00012
2019-05-23 09:06:26 ,  000006.468 ,   016.168 ,  0001.130 ,	 0096.900 ,	  0001 ,    0399 ,  008.000 ,	 02313 ,    00022 ,	    00005 ,   000.011 ,  000.000 ,	   00445 ,	   00004 ,	 00103 ,    014.740 ,	 00009 ,    00000009 ,	   0000.11 ,	 0000.00 ,     00005
2019-05-23 09:07:26 ,  000002.889 ,   007.221 ,  0001.098 ,	 0093.490 ,	  0001 ,    0400 ,  002.000 ,	 02637 ,    00019 ,	    00017 ,   000.008 ,  000.000 ,	   00157 ,	   00001 ,	 00141 ,    014.394 ,	 00008 ,    00000008 ,	   0000.14 ,	 0000.00 ,     00005
