BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-20 13:58:52 ,  000000.258 ,   000.644 ,  0000.040 ,	 0069.240 ,	  0000 ,    0255 ,  000.000 ,	 00068 ,    00187 ,	    00001 ,   000.157 ,  000.000 ,	   00094 ,	   00257 ,	 00000 ,    033.262 ,	 00705 ,    00000067 ,	   0000.00 ,	 0000.01 ,     00042
2019-05-20 13:59:52 ,  000001.153 ,   002.881 ,  0000.745 ,	 0083.280 ,	  0001 ,    0257 ,  001.000 ,	 01196 ,    00005 ,	    00001 ,   000.004 ,  000.000 ,	   01474 ,	   00006 ,	 00251 ,    033.151 ,	 00005 ,    00000016 ,	   0001.72 ,	 0000.01 ,     00000
2019-05-20 14:00:52 ,  000001.608 ,   004.020 ,  0001.322 ,	 0087.230 ,	  0002 ,    0256 ,  001.000 ,	 01551 ,    00006 ,	    00001 ,   000.006 ,  000.001 ,	   01473 ,	   00006 ,	 00263 ,    033.123 ,	 00005 ,    00000007 ,	   0000.36 ,	 0000.00 ,     00002
2019-05-20 14:01:52 ,  000000.578 ,   001.443 ,  0000.401 ,	 0099.790 ,	  0000 ,    0255 ,  000.000 ,	 00290 ,    01241 ,	    00017 ,   001.720 ,  000.000 ,	   00017 ,	   00071 ,	 00000 ,    033.116 ,	 01095 ,    00000016 ,	   0000.00 ,	 0000.00 ,     01181
2019-05-20 14:02:52 ,  000000.265 ,   000.663 ,  0000.045 ,	 0096.960 ,	  0000 ,    0255 ,  001.000 ,	 00189 ,    00517 ,	    00001 ,   000.127 ,  000.000 ,	   00209 ,	   00572 ,	 00000 ,    033.105 ,	 00700 ,    00000005 ,	   0000.00 ,	 0000.00 ,     00027
2019-05-20 14:03:52 ,  000000.457 ,   001.142 ,  0000.246 ,	 0082.190 ,	  0000 ,    0255 ,  000.000 ,	 00093 ,    00040 ,	    00001 ,   000.130 ,  000.002 ,	   00115 ,	   00050 ,	 00002 ,    033.023 ,	 00116 ,    00000011 ,	   0000.01 ,	 0000.00 ,     00012
2019-05-20 14:04:52 ,  000000.358 ,   000.894 ,  0000.084 ,	 0078.590 ,	  0000 ,    0257 ,  001.000 ,	 00267 ,    00206 ,	    00001 ,   000.082 ,  000.000 ,	   00293 ,	   00226 ,	 00001 ,    033.012 ,	 00226 ,    00000065 ,	   0000.02 ,	 0000.02 ,     00027
2019-05-20 14:05:52 ,  000000.377 ,   000.943 ,  0000.124 ,	 0089.410 ,	  0000 ,    0255 ,  000.000 ,	 00278 ,    00192 ,	    00001 ,   000.096 ,  000.000 ,	   00331 ,	   00229 ,	 00001 ,    032.941 ,	 00184 ,    00000045 ,	   0000.02 ,	 0000.01 ,     00029
2019-05-20 14:06:52 ,  000000.406 ,   001.015 ,  0000.166 ,	 0091.000 ,	  0000 ,    0255 ,  001.000 ,	 00403 ,    00484 ,	    00001 ,   000.219 ,  000.000 ,	   00472 ,	   00566 ,	 00001 ,    032.845 ,	 00318 ,    00000024 ,	   0000.00 ,	 0000.01 ,     00058
2019-05-20 14:07:52 ,  000000.360 ,   000.900 ,  0000.096 ,	 0093.940 ,	  0000 ,    0255 ,  000.000 ,	 00148 ,    00071 ,	    00001 ,   000.049 ,  000.000 ,	   00199 ,	   00096 ,	 00002 ,    032.821 ,	 00129 ,    00000032 ,	   0000.01 ,	 0000.01 ,     00015
2019-05-20 14:08:52 ,  000000.370 ,   000.925 ,  0000.137 ,	 0064.070 ,	  0000 ,    0255 ,  000.000 ,	 00188 ,    00276 ,	    00001 ,   000.313 ,  000.001 ,	   00223 ,	   00326 ,	 00001 ,    032.749 ,	 00385 ,    00000105 ,	   0000.01 ,	 0000.02 ,     00046
2019-05-20 14:09:52 ,  000000.362 ,   000.905 ,  0000.086 ,	 0083.280 ,	  0000 ,    0258 ,  000.000 ,	 00112 ,    00138 ,	    00001 ,   000.126 ,  000.001 ,	   00151 ,	   00186 ,	 00001 ,    032.729 ,	 00322 ,    00000040 ,	   0000.01 ,	 0000.01 ,     00031
2019-05-20 14:10:52 ,  000001.227 ,   003.067 ,  0000.953 ,	 0083.660 ,	  0001 ,    0257 ,  001.000 ,	 00659 ,    01041 ,	    00002 ,   001.798 ,  000.001 ,	   00291 ,	   00459 ,	 00001 ,    032.703 ,	 00416 ,    00000087 ,	   0000.01 ,	 0000.02 ,     00743
2019-05-20 14:11:52 ,  000001.241 ,   003.103 ,  0000.939 ,	 0082.370 ,	  0001 ,    0256 ,  001.000 ,	 00450 ,    00675 ,	    00002 ,   001.711 ,  000.001 ,	   00223 ,	   00335 ,	 00001 ,    032.573 ,	 00394 ,    00000088 ,	   0000.01 ,	 0000.01 ,     00440
2019-05-20 14:12:52 ,  000000.721 ,   001.802 ,  0000.503 ,	 0077.650 ,	  0001 ,    0255 ,  000.000 ,	 00399 ,    01330 ,	    00001 ,   002.159 ,  000.001 ,	   00464 ,	   01547 ,	 00000 ,    032.561 ,	 00863 ,    00000014 ,	   0000.00 ,	 0000.00 ,     00088
2019-05-20 14:13:52 ,  000000.270 ,   000.676 ,  0000.048 ,	 0070.640 ,	  0000 ,    0255 ,  000.000 ,	 00135 ,    00405 ,	    00001 ,   000.205 ,  000.000 ,	   00172 ,	   00515 ,	 00000 ,    032.548 ,	 00774 ,    00000036 ,	   0000.00 ,	 0000.01 ,     00088
2019-05-20 14:14:52 ,  000000.328 ,   000.821 ,  0000.101 ,	 0091.100 ,	  0000 ,    0257 ,  000.000 ,	 00225 ,    00242 ,	    00001 ,   000.119 ,  000.000 ,	   00299 ,	   00320 ,	 00001 ,    032.517 ,	 00280 ,    00000037 ,	   0000.01 ,	 0000.01 ,     00034
