BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 11:58:58 ,  000001.237 ,   003.091 ,  0001.008 ,	 0096.300 ,	  0001 ,    0413 ,  000.000 ,	 00472 ,    00093 ,	    00001 ,   000.205 ,  000.001 ,	   00934 ,	   00183 ,	 00005 ,    013.948 ,	 00055 ,    00000034 ,	   0000.04 ,	 0000.01 ,     00020
2019-05-21 11:59:57 ,  000003.560 ,   008.901 ,  0002.862 ,	 0076.030 ,	  0004 ,    0415 ,  005.000 ,	 11000 ,    00017 ,	    00001 ,   000.006 ,  000.000 ,	   13702 ,	   00022 ,	 00633 ,    013.887 ,	 00003 ,    00000011 ,	   0002.49 ,	 0000.00 ,     00001
2019-05-21 12:00:57 ,  000003.834 ,   009.584 ,  0003.229 ,	 0081.200 ,	  0004 ,    0414 ,  002.000 ,	 10258 ,    00019 ,	    00001 ,   000.007 ,  000.000 ,	   12463 ,	   00023 ,	 00538 ,    013.895 ,	 00003 ,    00000005 ,	   0000.50 ,	 0000.00 ,     00002
2019-05-21 12:01:57 ,  000001.185 ,   002.961 ,  0000.941 ,	 0097.350 ,	  0001 ,    0414 ,  001.000 ,	 01147 ,    00353 ,	    00001 ,   000.297 ,  000.000 ,	   01240 ,	   00382 ,	 00003 ,    013.871 ,	 00084 ,    00000183 ,	   0000.13 ,	 0000.04 ,     00145
2019-05-21 12:02:57 ,  000001.422 ,   003.555 ,  0001.140 ,	 0085.190 ,	  0001 ,    0413 ,  001.000 ,	 00958 ,    00152 ,	    00001 ,   000.213 ,  000.001 ,	   01574 ,	   00251 ,	 00006 ,    013.871 ,	 00046 ,    00000044 ,	   0000.05 ,	 0000.01 ,     00023
2019-05-21 12:03:57 ,  000001.535 ,   003.837 ,  0001.315 ,	 0097.140 ,	  0001 ,    0413 ,  002.000 ,	 00640 ,    00169 ,	    00001 ,   000.356 ,  000.001 ,	   01089 ,	   00287 ,	 00004 ,    013.876 ,	 00072 ,    00000057 ,	   0000.04 ,	 0000.01 ,     00029
2019-05-21 12:04:57 ,  000002.194 ,   005.484 ,  0001.916 ,	 0091.340 ,	  0002 ,    0415 ,  002.000 ,	 00489 ,    00264 ,	    00001 ,   001.134 ,  000.002 ,	   00968 ,	   00523 ,	 00002 ,    013.868 ,	 00143 ,    00000052 ,	   0000.03 ,	 0000.01 ,     00063
2019-05-21 12:05:57 ,  000002.173 ,   005.432 ,  0001.892 ,	 0090.570 ,	  0002 ,    0413 ,  002.000 ,	 00354 ,    00177 ,	    00001 ,   001.045 ,  000.003 ,	   00702 ,	   00351 ,	 00002 ,    013.877 ,	 00148 ,    00000073 ,	   0000.03 ,	 0000.01 ,     00035
2019-05-21 12:06:57 ,  000001.984 ,   004.960 ,  0001.776 ,	 0089.270 ,	  0002 ,    0413 ,  001.000 ,	 00566 ,    00326 ,	    00001 ,   001.148 ,  000.002 ,	   01040 ,	   00600 ,	 00002 ,    013.868 ,	 00152 ,    00000046 ,	   0000.02 ,	 0000.01 ,     00050
2019-05-21 12:07:57 ,  000001.133 ,   002.832 ,  0000.808 ,	 0080.620 ,	  0001 ,    0413 ,  001.000 ,	 00675 ,    00278 ,	    00001 ,   000.412 ,  000.001 ,	   01172 ,	   00482 ,	 00002 ,    013.845 ,	 00111 ,    00000049 ,	   0000.02 ,	 0000.01 ,     00049
2019-05-21 12:08:57 ,  000002.033 ,   005.081 ,  0001.782 ,	 0082.970 ,	  0002 ,    0413 ,  002.000 ,	 00517 ,    00169 ,	    00000 ,   000.700 ,  000.002 ,	   01100 ,	   00359 ,	 00003 ,    013.852 ,	 00088 ,    00000061 ,	   0000.03 ,	 0000.01 ,     00026
2019-05-21 12:09:57 ,  000002.202 ,   005.504 ,  0001.986 ,	 0088.810 ,	  0002 ,    0413 ,  003.000 ,	 00437 ,    00610 ,	    00001 ,   003.121 ,  000.003 ,	   00826 ,	   01153 ,	 00001 ,    013.865 ,	 00361 ,    00000056 ,	   0000.01 ,	 0000.01 ,     00100
2019-05-21 12:10:57 ,  000002.790 ,   006.974 ,  0002.542 ,	 0085.880 ,	  0003 ,    0414 ,  003.000 ,	 00824 ,    00458 ,	    00001 ,   001.645 ,  000.001 ,	   00862 ,	   00479 ,	 00002 ,    013.841 ,	 00149 ,    00000034 ,	   0000.01 ,	 0000.01 ,     00266
2019-05-21 12:11:57 ,  000002.624 ,   006.558 ,  0002.421 ,	 0091.040 ,	  0003 ,    0413 ,  002.000 ,	 01022 ,    00291 ,	    00001 ,   000.756 ,  000.001 ,	   01149 ,	   00327 ,	 00004 ,    013.841 ,	 00078 ,    00000038 ,	   0000.03 ,	 0000.01 ,     00126
2019-05-21 12:12:57 ,  000002.424 ,   006.059 ,  0002.157 ,	 0085.320 ,	  0003 ,    0413 ,  002.000 ,	 00414 ,    00190 ,	    00000 ,   001.158 ,  000.003 ,	   00923 ,	   00423 ,	 00002 ,    013.822 ,	 00123 ,    00000047 ,	   0000.02 ,	 0000.01 ,     00054
2019-05-21 12:13:57 ,  000002.025 ,   005.061 ,  0001.767 ,	 0089.660 ,	  0002 ,    0413 ,  001.000 ,	 00384 ,    00250 ,	    00000 ,   001.285 ,  000.002 ,	   00832 ,	   00542 ,	 00002 ,    013.827 ,	 00172 ,    00000045 ,	   0000.01 ,	 0000.01 ,     00065
2019-05-21 12:14:57 ,  000001.340 ,   003.348 ,  0001.121 ,	 0099.060 ,	  0001 ,    0414 ,  001.000 ,	 00189 ,    00137 ,	    00000 ,   000.818 ,  000.003 ,	   00422 ,	   00305 ,	 00001 ,    013.834 ,	 00191 ,    00000050 ,	   0000.01 ,	 0000.01 ,     00042
2019-05-21 12:15:57 ,  000001.345 ,   003.362 ,  0001.153 ,	 0098.740 ,	  0001 ,    0412 ,  001.000 ,	 00176 ,    00251 ,	    00001 ,   001.668 ,  000.004 ,	   00257 ,	   00366 ,	 00001 ,    013.832 ,	 00370 ,    00000035 ,	   0000.01 ,	 0000.01 ,     00094
2019-05-21 12:16:57 ,  000001.541 ,   003.853 ,  0001.341 ,	 0091.590 ,	  0001 ,    0412 ,  001.000 ,	 00324 ,    00170 ,	    00001 ,   000.771 ,  000.003 ,	   00430 ,	   00226 ,	 00002 ,    013.832 ,	 00141 ,    00000042 ,	   0000.02 ,	 0000.01 ,     00043
2019-05-21 12:17:57 ,  000001.363 ,   003.408 ,  0001.113 ,	 0097.660 ,	  0001 ,    0412 ,  001.000 ,	 00232 ,    00151 ,	    00001 ,   000.743 ,  000.003 ,	   00330 ,	   00215 ,	 00002 ,    013.827 ,	 00173 ,    00000038 ,	   0000.01 ,	 0000.01 ,     00050
2019-05-21 12:18:57 ,  000001.507 ,   003.766 ,  0001.214 ,	 0098.940 ,	  0001 ,    0414 ,  002.000 ,	 00391 ,    00313 ,	    00001 ,   000.982 ,  000.002 ,	   00486 ,	   00389 ,	 00001 ,    013.829 ,	 00213 ,    00001401 ,	   0000.23 ,	 0000.18 ,     00058
