BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 01:58:52 ,  000002.239 ,   005.597 ,  0000.061 ,	 0083.580 ,	  0000 ,    0407 ,  002.000 ,	 00099 ,    00025 ,	    00000 ,   000.018 ,  000.000 ,	   00257 ,	   00064 ,	 00004 ,    017.026 ,	 00068 ,    00000052 ,	   0000.04 ,	 0000.01 ,     00002
2019-05-21 01:59:52 ,  000002.509 ,   006.270 ,  0000.194 ,	 0081.850 ,	  0000 ,    0409 ,  002.000 ,	 00114 ,    00034 ,	    00001 ,   000.070 ,  000.001 ,	   00213 ,	   00063 ,	 00003 ,    016.996 ,	 00096 ,    00000456 ,	   0001.21 ,	 0000.36 ,     00008
2019-05-21 02:00:52 ,  000002.932 ,   007.328 ,  0000.750 ,	 0078.660 ,	  0001 ,    0408 ,  003.000 ,	 00517 ,    00128 ,	    00002 ,   000.236 ,  000.001 ,	   00266 ,	   00066 ,	 00004 ,    017.002 ,	 00068 ,    00000057 ,	   0000.04 ,	 0000.01 ,     00104
2019-05-21 02:01:52 ,  000002.534 ,   006.333 ,  0000.397 ,	 0098.400 ,	  0000 ,    0407 ,  002.000 ,	 00379 ,    00099 ,	    00002 ,   000.105 ,  000.000 ,	   00230 ,	   00060 ,	 00004 ,    017.002 ,	 00071 ,    00000050 ,	   0000.03 ,	 0000.01 ,     00076
2019-05-21 02:02:52 ,  000001.544 ,   003.859 ,  0000.055 ,	 0078.510 ,	  0000 ,    0407 ,  001.000 ,	 00096 ,    00025 ,	    00000 ,   000.018 ,  000.000 ,	   00240 ,	   00064 ,	 00004 ,    017.002 ,	 00072 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:03:52 ,  000001.224 ,   003.058 ,  0000.053 ,	 0078.150 ,	  0000 ,    0407 ,  001.000 ,	 00094 ,    00026 ,	    00000 ,   000.018 ,  000.000 ,	   00241 ,	   00066 ,	 00004 ,    017.001 ,	 00074 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:04:52 ,  000001.241 ,   003.101 ,  0000.059 ,	 0064.060 ,	  0000 ,    0409 ,  001.000 ,	 00105 ,    00026 ,	    00000 ,   000.023 ,  000.000 ,	   00268 ,	   00066 ,	 00004 ,    017.001 ,	 00067 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:05:52 ,  000001.223 ,   003.058 ,  0000.060 ,	 0079.860 ,	  0000 ,    0407 ,  001.000 ,	 00103 ,    00028 ,	    00000 ,   000.020 ,  000.000 ,	   00243 ,	   00066 ,	 00004 ,    017.003 ,	 00080 ,    00000065 ,	   0000.04 ,	 0000.01 ,     00003
2019-05-21 02:06:52 ,  000001.224 ,   003.058 ,  0000.051 ,	 0078.380 ,	  0000 ,    0407 ,  001.000 ,	 00093 ,    00025 ,	    00000 ,   000.018 ,  000.000 ,	   00240 ,	   00065 ,	 00004 ,    017.003 ,	 00074 ,    00000054 ,	   0000.03 ,	 0000.01 ,     00001
2019-05-21 02:07:52 ,  000001.279 ,   003.197 ,  0000.062 ,	 0079.410 ,	  0000 ,    0407 ,  001.000 ,	 00099 ,    00026 ,	    00000 ,   000.020 ,  000.000 ,	   00250 ,	   00066 ,	 00004 ,    017.003 ,	 00072 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:08:52 ,  000001.235 ,   003.086 ,  0000.056 ,	 0079.320 ,	  0000 ,    0407 ,  001.000 ,	 00099 ,    00025 ,	    00000 ,   000.018 ,  000.000 ,	   00255 ,	   00064 ,	 00004 ,    017.003 ,	 00068 ,    00000053 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:09:52 ,  000001.242 ,   003.105 ,  0000.061 ,	 0065.400 ,	  0000 ,    0408 ,  001.000 ,	 00101 ,    00026 ,	    00000 ,   000.024 ,  000.000 ,	   00258 ,	   00065 ,	 00004 ,    017.002 ,	 00071 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:10:52 ,  000001.958 ,   004.895 ,  0000.776 ,	 0076.830 ,	  0001 ,    0408 ,  002.000 ,	 00556 ,    00130 ,	    00002 ,   000.237 ,  000.001 ,	   00282 ,	   00066 ,	 00004 ,    017.003 ,	 00064 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00106
2019-05-21 02:11:52 ,  000001.499 ,   003.748 ,  0000.330 ,	 0095.430 ,	  0000 ,    0407 ,  001.000 ,	 00348 ,    00097 ,	    00001 ,   000.096 ,  000.000 ,	   00237 ,	   00066 ,	 00004 ,    017.003 ,	 00075 ,    00000055 ,	   0000.04 ,	 0000.01 ,     00072
2019-05-21 02:12:52 ,  000001.216 ,   003.038 ,  0000.047 ,	 0069.970 ,	  0000 ,    0407 ,  001.000 ,	 00098 ,    00025 ,	    00000 ,   000.018 ,  000.000 ,	   00250 ,	   00065 ,	 00004 ,    017.003 ,	 00071 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:13:52 ,  000001.238 ,   003.094 ,  0000.058 ,	 0080.460 ,	  0000 ,    0407 ,  001.000 ,	 00101 ,    00025 ,	    00000 ,   000.018 ,  000.000 ,	   00263 ,	   00065 ,	 00004 ,    017.003 ,	 00067 ,    00000053 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:14:52 ,  000001.254 ,   003.134 ,  0000.055 ,	 0063.990 ,	  0000 ,    0409 ,  001.000 ,	 00103 ,    00026 ,	    00000 ,   000.021 ,  000.000 ,	   00258 ,	   00064 ,	 00004 ,    017.004 ,	 00068 ,    00000055 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:15:53 ,  000001.243 ,   003.106 ,  0000.047 ,	 0079.610 ,	  0000 ,    0408 ,  001.000 ,	 00092 ,    00025 ,	    00000 ,   000.016 ,  000.000 ,	   00236 ,	   00065 ,	 00004 ,    017.005 ,	 00074 ,    00000053 ,	   0000.03 ,	 0000.01 ,     00001
2019-05-21 02:16:53 ,  000001.246 ,   003.114 ,  0000.058 ,	 0083.240 ,	  0000 ,    0408 ,  001.000 ,	 00102 ,    00025 ,	    00000 ,   000.017 ,  000.000 ,	   00264 ,	   00066 ,	 00004 ,    017.005 ,	 00068 ,    00000054 ,	   0000.04 ,	 0000.01 ,     00001
2019-05-21 02:17:53 ,  000001.252 ,   003.130 ,  0000.045 ,	 0079.120 ,	  0000 ,    0408 ,  001.000 ,	 00086 ,    00026 ,	    00000 ,   000.017 ,  000.000 ,	   00217 ,	   00065 ,	 00003 ,    017.005 ,	 00082 ,    00000054 ,	   0000.03 ,	 0000.01 ,     00002
2019-05-21 02:18:53 ,  000001.223 ,   003.057 ,  0000.052 ,	 0086.300 ,	  0000 ,    0408 ,  001.000 ,	 00090 ,    00025 ,	    00000 ,   000.017 ,  000.000 ,	   00229 ,	   00065 ,	 00004 ,    017.005 ,	 00077 ,    00000055 ,	   0000.03 ,	 0000.01 ,     00001
2019-05-21 02:19:53 ,  000001.442 ,   003.604 ,  0000.064 ,	 0052.920 ,	  0000 ,    0412 ,  002.000 ,	 00195 ,    00038 ,	    00001 ,   000.023 ,  000.000 ,	   00271 ,	   00052 ,	 00005 ,    016.896 ,	 00078 ,    00001095 ,	   0000.85 ,	 0000.16 ,     00005
2019-05-21 02:20:53 ,  000002.142 ,   005.352 ,  0000.760 ,	 0077.980 ,	  0001 ,    0409 ,  002.000 ,	 00537 ,    00123 ,	    00002 ,   000.222 ,  000.001 ,	   00254 ,	   00058 ,	 00004 ,    016.902 ,	 00248 ,    00000312 ,	   0000.19 ,	 0000.04 ,     00101
2019-05-21 02:21:53 ,  000001.506 ,   003.764 ,  0000.345 ,	 0096.180 ,	  0000 ,    0408 ,  001.000 ,	 00364 ,    00107 ,	    00002 ,   000.105 ,  000.000 ,	   00220 ,	   00065 ,	 00003 ,    016.904 ,	 00079 ,    00000053 ,	   0000.03 ,	 0000.01 ,     00083
2019-05-21 02:22:53 ,  000001.250 ,   003.125 ,  0000.063 ,	 0091.550 ,	  0000 ,    0408 ,  001.000 ,	 00084 ,    00019 ,	    00000 ,   000.015 ,  000.000 ,	   00211 ,	   00046 ,	 00005 ,    016.893 ,	 00060 ,    00000040 ,	   0000.03 ,	 0000.01 ,     00002
2019-05-21 02:23:53 ,  000001.244 ,   003.108 ,  0000.059 ,	 0076.550 ,	  0000 ,    0408 ,  001.000 ,	 00122 ,    00020 ,	    00000 ,   000.013 ,  000.000 ,	   00268 ,	   00045 ,	 00006 ,    016.880 ,	 00047 ,    00000045 ,	   0000.05 ,	 0000.01 ,     00002
2019-05-21 02:24:53 ,  000001.468 ,   003.668 ,  0000.198 ,	 0070.890 ,	  0000 ,    0410 ,  002.000 ,	 00588 ,    00026 ,	    00001 ,   000.012 ,  000.000 ,	   00812 ,	   00035 ,	 00023 ,    017.067 ,	 00016 ,    00000065 ,	   0000.26 ,	 0000.01 ,     00001
2019-05-21 02:25:53 ,  000001.420 ,   003.549 ,  0000.184 ,	 0081.190 ,	  0000 ,    0408 ,  001.000 ,	 00727 ,    00029 ,	    00001 ,   000.009 ,  000.000 ,	   00940 ,	   00038 ,	 00025 ,    017.049 ,	 00015 ,    00000072 ,	   0000.31 ,	 0000.01 ,     00001
