BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 17:58:57 ,  000001.228 ,   003.069 ,  0001.038 ,	 0098.070 ,	  0001 ,    0414 ,  001.000 ,	 00045 ,    00194 ,	    00001 ,   004.535 ,  000.012 ,	   00061 ,	   00261 ,	 00000 ,    012.911 ,	 01104 ,    00000015 ,	   0000.00 ,	 0000.00 ,     00073
2019-05-21 17:59:57 ,  000001.228 ,   003.070 ,  0001.014 ,	 0099.440 ,	  0001 ,    0418 ,  001.000 ,	 00024 ,    00081 ,	    00001 ,   003.400 ,  000.016 ,	   00031 ,	   00104 ,	 00000 ,    012.909 ,	 00881 ,    00000450 ,	   0000.11 ,	 0000.35 ,     00040
2019-05-21 18:00:57 ,  000002.037 ,   005.089 ,  0001.771 ,	 0092.640 ,	  0002 ,    0415 ,  002.000 ,	 00531 ,    01225 ,	    00008 ,   004.412 ,  000.001 ,	   00067 ,	   00154 ,	 00000 ,    012.929 ,	 00738 ,    00003934 ,	   0001.39 ,	 0003.20 ,     01129
2019-05-21 18:01:57 ,  000001.510 ,   003.775 ,  0001.336 ,	 0099.870 ,	  0001 ,    0414 ,  002.000 ,	 00296 ,    01271 ,	    00014 ,   005.734 ,  000.002 ,	   00020 ,	   00088 ,	 00000 ,    012.929 ,	 01094 ,    00000007 ,	   0000.00 ,	 0000.00 ,     01233
2019-05-21 18:02:57 ,  000001.210 ,   003.023 ,  0001.031 ,	 0099.590 ,	  0001 ,    0414 ,  001.000 ,	 00048 ,    00204 ,	    00001 ,   004.437 ,  000.012 ,	   00065 ,	   00277 ,	 00000 ,    012.929 ,	 01098 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00071
2019-05-21 18:03:57 ,  000001.298 ,   003.245 ,  0001.106 ,	 0098.170 ,	  0001 ,    0414 ,  001.000 ,	 00039 ,    00165 ,	    00001 ,   004.830 ,  000.014 ,	   00052 ,	   00222 ,	 00000 ,    012.929 ,	 01105 ,    00000016 ,	   0000.00 ,	 0000.00 ,     00065
2019-05-21 18:04:57 ,  000001.217 ,   003.043 ,  0001.017 ,	 0099.690 ,	  0001 ,    0416 ,  001.000 ,	 00028 ,    00099 ,	    00001 ,   003.602 ,  000.016 ,	   00037 ,	   00130 ,	 00000 ,    012.927 ,	 00905 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00039
2019-05-21 18:05:57 ,  000001.376 ,   003.439 ,  0001.136 ,	 0099.650 ,	  0001 ,    0414 ,  001.000 ,	 00081 ,    00243 ,	    00001 ,   003.419 ,  000.008 ,	   00098 ,	   00295 ,	 00000 ,    012.918 ,	 00813 ,    00000111 ,	   0000.01 ,	 0000.03 ,     00078
2019-05-21 18:06:57 ,  000001.222 ,   003.053 ,  0001.047 ,	 0100.060 ,	  0001 ,    0414 ,  001.000 ,	 00052 ,    00223 ,	    00001 ,   004.483 ,  000.011 ,	   00070 ,	   00302 ,	 00000 ,    012.918 ,	 01095 ,    00000007 ,	   0000.00 ,	 0000.00 ,     00069
2019-05-21 18:07:57 ,  000001.259 ,   003.146 ,  0001.025 ,	 0099.790 ,	  0001 ,    0414 ,  001.000 ,	 00011 ,    00047 ,	    00001 ,   004.404 ,  000.024 ,	   00014 ,	   00060 ,	 00000 ,    012.918 ,	 01100 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00036
2019-05-21 18:08:57 ,  000001.218 ,   003.045 ,  0001.006 ,	 0098.250 ,	  0001 ,    0414 ,  001.000 ,	 00006 ,    00028 ,	    00001 ,   004.387 ,  000.029 ,	   00007 ,	   00031 ,	 00000 ,    012.919 ,	 01104 ,    00000014 ,	   0000.00 ,	 0000.00 ,     00026
2019-05-21 18:09:57 ,  000001.221 ,   003.052 ,  0001.038 ,	 0098.140 ,	  0001 ,    0414 ,  001.000 ,	 00036 ,    00144 ,	    00001 ,   004.230 ,  000.014 ,	   00050 ,	   00199 ,	 00000 ,    012.923 ,	 01027 ,    00000013 ,	   0000.00 ,	 0000.00 ,     00057
2019-05-21 18:10:57 ,  000002.038 ,   005.094 ,  0001.795 ,	 0091.220 ,	  0002 ,    0415 ,  002.000 ,	 00486 ,    02081 ,	    00008 ,   008.436 ,  000.001 ,	   00060 ,	   00258 ,	 00000 ,    012.923 ,	 01114 ,    00000012 ,	   0000.00 ,	 0000.00 ,     01952
2019-05-21 18:11:57 ,  000001.621 ,   004.052 ,  0001.457 ,	 0099.760 ,	  0001 ,    0414 ,  001.000 ,	 00326 ,    01222 ,	    00011 ,   005.477 ,  000.002 ,	   00029 ,	   00108 ,	 00000 ,    012.919 ,	 00959 ,    00000008 ,	   0000.00 ,	 0000.00 ,     01181
