BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-22 03:57:56 ,  000002.628 ,   006.569 ,  0002.291 ,	 0096.640 ,	  0002 ,    0387 ,  001.000 ,	 00006 ,    00024 ,	    00001 ,   009.488 ,  000.066 ,	   00009 ,	   00037 ,	 00000 ,    016.115 ,	 01029 ,    00000416 ,	   0000.07 ,	 0000.29 ,     00022
2019-05-22 03:58:56 ,  000000.817 ,   002.042 ,  0000.420 ,	 0093.860 ,	  0000 ,    0387 ,  001.000 ,	 00710 ,    00018 ,	    00001 ,   000.012 ,  000.000 ,	   00831 ,	   00021 ,	 00039 ,    016.090 ,	 00010 ,    00000147 ,	   0000.95 ,	 0000.03 ,     00001
2019-05-22 03:59:56 ,  000012.030 ,   030.071 ,  0010.978 ,	 0092.200 ,	  0012 ,    0387 ,  016.000 ,	 11809 ,    00012 ,	    00001 ,   000.012 ,  000.001 ,	   14141 ,	   00014 ,	 00987 ,    016.038 ,	 00003 ,    00000008 ,	   0001.58 ,	 0000.00 ,     00000
2019-05-22 04:00:56 ,  000014.080 ,   035.197 ,  0012.999 ,	 0092.050 ,	  0014 ,    0388 ,  021.000 ,	 13132 ,    00012 ,	    00001 ,   000.013 ,  000.001 ,	   15361 ,	   00014 ,	 01097 ,    016.005 ,	 00003 ,    00000005 ,	   0002.13 ,	 0000.00 ,     00000
2019-05-22 04:01:56 ,  000010.672 ,   026.677 ,  0009.919 ,	 0093.540 ,	  0011 ,    0387 ,  009.000 ,	 11132 ,    00012 ,	    00001 ,   000.011 ,  000.001 ,	   12727 ,	   00014 ,	 00942 ,    015.987 ,	 00003 ,    00000005 ,	   0000.96 ,	 0000.00 ,     00001
2019-05-22 04:02:56 ,  000005.322 ,   013.303 ,  0004.874 ,	 0093.100 ,	  0005 ,    0387 ,  000.000 ,	 05980 ,    00011 ,	    00001 ,   000.010 ,  000.001 ,	   07143 ,	   00013 ,	 00531 ,    015.987 ,	 00003 ,    00000009 ,	   0000.98 ,	 0000.00 ,     00000
2019-05-22 04:03:56 ,  000002.253 ,   005.630 ,  0001.954 ,	 0092.130 ,	  0002 ,    0388 ,  006.000 ,	 01962 ,    00008 ,	    00001 ,   000.009 ,  000.001 ,	   02381 ,	   00010 ,	 00246 ,    015.951 ,	 00004 ,    00000011 ,	   0000.51 ,	 0000.00 ,     00000
2019-05-22 04:04:56 ,  000003.560 ,   008.900 ,  0003.193 ,	 0093.910 ,	  0003 ,    0389 ,  000.000 ,	 03219 ,    00008 ,	    00001 ,   000.009 ,  000.001 ,	   03855 ,	   00010 ,	 00398 ,    015.951 ,	 00004 ,    00000013 ,	   0000.85 ,	 0000.00 ,     00000
2019-05-22 04:05:56 ,  000011.528 ,   028.812 ,  0010.782 ,	 0090.770 ,	  0012 ,    0387 ,  019.000 ,	 11018 ,    00013 ,	    00001 ,   000.014 ,  000.001 ,	   13416 ,	   00015 ,	 00878 ,    016.955 ,	 00003 ,    00000011 ,	   0001.75 ,	 0000.00 ,     00001
2019-05-22 04:06:56 ,  000015.851 ,   039.622 ,  0014.979 ,	 0093.900 ,	  0016 ,    0387 ,  019.000 ,	 14890 ,    00012 ,	    00001 ,   000.013 ,  000.001 ,	   18040 ,	   00014 ,	 01244 ,    016.967 ,	 00003 ,    00000004 ,	   0000.89 ,	 0000.00 ,     00001
