BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 05:58:57 ,  000002.894 ,   007.233 ,  0001.855 ,	 0071.200 ,	  0003 ,    0332 ,  003.000 ,	 01653 ,    00008 ,	    00001 ,   000.012 ,  000.001 ,	   01953 ,	   00009 ,	 00215 ,    020.377 ,	 00004 ,    00000042 ,	   0001.43 ,	 0000.01 ,     00000
2019-05-21 05:59:57 ,  000004.975 ,   012.436 ,  0002.593 ,	 0058.870 ,	  0004 ,    0349 ,  009.000 ,	 05894 ,    00019 ,	    00001 ,   000.014 ,  000.001 ,	   07107 ,	   00023 ,	 00308 ,    020.153 ,	 00004 ,    00000043 ,	   0003.47 ,	 0000.01 ,     00001
2019-05-21 06:00:57 ,  000012.378 ,   030.946 ,  0007.426 ,	 0064.920 ,	  0011 ,    0407 ,  013.000 ,	 19643 ,    00013 ,	    00001 ,   000.008 ,  000.000 ,	   23923 ,	   00016 ,	 01496 ,    019.800 ,	 00004 ,    00000006 ,	   0001.73 ,	 0000.00 ,     00001
2019-05-21 06:01:57 ,  000011.450 ,   028.622 ,  0007.939 ,	 0070.780 ,	  0011 ,    0399 ,  010.000 ,	 22574 ,    00010 ,	    00001 ,   000.005 ,  000.000 ,	   26482 ,	   00011 ,	 02342 ,    018.888 ,	 00003 ,    00000005 ,	   0002.37 ,	 0000.00 ,     00001
2019-05-21 06:02:57 ,  000008.730 ,   021.827 ,  0007.030 ,	 0061.950 ,	  0011 ,    0600 ,  003.000 ,	 12464 ,    00008 ,	    00001 ,   000.007 ,  000.001 ,	   15796 ,	   00010 ,	 01587 ,    017.753 ,	 00003 ,    00000005 ,	   0001.58 ,	 0000.00 ,     00000
2019-05-21 06:03:57 ,  000007.121 ,   017.798 ,  0007.394 ,	 0066.300 ,	  0011 ,    0396 ,  002.000 ,	 00101 ,    00008 ,	    00001 ,   000.931 ,  000.047 ,	   00127 ,	   00011 ,	 00012 ,    017.893 ,	 00024 ,    00000382 ,	   0000.98 ,	 0000.08 ,     00001
2019-05-21 06:04:57 ,  000002.220 ,   005.550 ,  0001.852 ,	 0079.770 ,	  0002 ,    0407 ,  005.000 ,	 00007 ,    00023 ,	    00001 ,   007.334 ,  000.054 ,	   00007 ,	   00021 ,	 00000 ,    017.876 ,	 00882 ,    00043849 ,	   0002.58 ,	 0008.16 ,     00020
2019-05-21 06:05:57 ,  000003.431 ,   008.574 ,  0003.311 ,	 0095.720 ,	  0003 ,    0396 ,  002.000 ,	 00050 ,    00034 ,	    00003 ,   002.358 ,  000.016 ,	   00015 ,	   00010 ,	 00001 ,    017.805 ,	 00218 ,    00000311 ,	   0000.08 ,	 0000.05 ,     00025
2019-05-21 06:06:57 ,  000002.558 ,   006.393 ,  0002.273 ,	 0092.250 ,	  0002 ,    0402 ,  003.000 ,	 00018 ,    00020 ,	    00002 ,   002.790 ,  000.024 ,	   00012 ,	   00013 ,	 00001 ,    017.763 ,	 00301 ,    00000778 ,	   0000.16 ,	 0000.18 ,     00014
2019-05-21 06:07:57 ,  000002.793 ,   006.983 ,  0002.620 ,	 0095.440 ,	  0003 ,    0396 ,  002.000 ,	 00057 ,    00017 ,	    00002 ,   000.836 ,  000.009 ,	   00025 ,	   00008 ,	 00003 ,    017.504 ,	 00088 ,    00000351 ,	   0000.20 ,	 0000.06 ,     00010
2019-05-21 06:08:57 ,  000004.847 ,   012.116 ,  0003.935 ,	 0096.480 ,	  0004 ,    0396 ,  003.000 ,	 00027 ,    00017 ,	    00001 ,   002.524 ,  000.026 ,	   00020 ,	   00012 ,	 00002 ,    017.385 ,	 00177 ,    00001919 ,	   0000.64 ,	 0000.39 ,     00011
2019-05-21 06:09:58 ,  000005.656 ,   014.138 ,  0004.376 ,	 0094.870 ,	  0005 ,    0413 ,  009.000 ,	 00016 ,    00019 ,	    00001 ,   005.426 ,  000.048 ,	   00013 ,	   00015 ,	 00001 ,    017.356 ,	 00322 ,    00001896 ,	   0000.36 ,	 0000.42 ,     00015
