BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-23 13:58:26 ,  000003.147 ,   007.865 ,  0002.558 ,	 0037.870 ,	  0007 ,    0369 ,  002.000 ,	 02538 ,    00116 ,	    00001 ,   000.308 ,  000.001 ,	   04488 ,	   00205 ,	 00022 ,    014.208 ,	 00019 ,    00000121 ,	   0000.50 ,	 0000.02 ,     00025
2019-05-23 13:59:26 ,  000003.264 ,   008.159 ,  0002.667 ,	 0041.330 ,	  0006 ,    0371 ,  003.000 ,	 02882 ,    00032 ,	    00001 ,   000.072 ,  000.001 ,	   05031 ,	   00056 ,	 00090 ,    014.226 ,	 00008 ,    00000070 ,	   0001.23 ,	 0000.01 ,     00006
2019-05-23 14:00:26 ,  000003.662 ,   009.153 ,  0002.938 ,	 0044.800 ,	  0007 ,    0370 ,  004.000 ,	 04077 ,    00021 ,	    00001 ,   000.033 ,  000.001 ,	   06497 ,	   00033 ,	 00196 ,    014.227 ,	 00005 ,    00000026 ,	   0002.12 ,	 0000.01 ,     00003
2019-05-23 14:01:26 ,  000004.327 ,   010.816 ,  0003.716 ,	 0043.860 ,	  0008 ,    0371 ,  005.000 ,	 04007 ,    00019 ,	    00001 ,   000.040 ,  000.001 ,	   05787 ,	   00027 ,	 00212 ,    014.242 ,	 00005 ,    00000013 ,	   0000.55 ,	 0000.00 ,     00005
2019-05-23 14:02:26 ,  000004.495 ,   011.237 ,  0003.762 ,	 0048.170 ,	  0008 ,    0369 ,  003.000 ,	 04950 ,    00028 ,	    00001 ,   000.044 ,  000.001 ,	   07187 ,	   00041 ,	 00177 ,    014.234 ,	 00005 ,    00000019 ,	   0000.65 ,	 0000.00 ,     00006
2019-05-23 14:03:26 ,  000003.683 ,   009.206 ,  0002.987 ,	 0045.050 ,	  0007 ,    0369 ,  003.000 ,	 03995 ,    00021 ,	    00001 ,   000.035 ,  000.001 ,	   06506 ,	   00035 ,	 00188 ,    014.226 ,	 00005 ,    00000019 ,	   0000.70 ,	 0000.00 ,     00004
2019-05-23 14:04:26 ,  000003.485 ,   008.712 ,  0002.822 ,	 0043.910 ,	  0006 ,    0371 ,  004.000 ,	 03589 ,    00019 ,	    00001 ,   000.034 ,  000.001 ,	   05906 ,	   00031 ,	 00191 ,    014.211 ,	 00005 ,    00000017 ,	   0000.67 ,	 0000.00 ,     00003
2019-05-23 14:05:26 ,  000003.580 ,   008.949 ,  0002.897 ,	 0042.680 ,	  0007 ,    0370 ,  003.000 ,	 03829 ,    00022 ,	    00001 ,   000.038 ,  000.001 ,	   06122 ,	   00035 ,	 00177 ,    014.212 ,	 00005 ,    00000018 ,	   0000.64 ,	 0000.00 ,     00003
2019-05-23 14:06:26 ,  000003.406 ,   008.514 ,  0002.786 ,	 0043.990 ,	  0006 ,    0369 ,  004.000 ,	 03634 ,    00028 ,	    00001 ,   000.048 ,  000.001 ,	   05837 ,	   00044 ,	 00132 ,    014.201 ,	 00006 ,    00000022 ,	   0000.58 ,	 0000.00 ,     00004
2019-05-23 14:07:26 ,  000003.682 ,   009.205 ,  0003.038 ,	 0044.960 ,	  0007 ,    0369 ,  003.000 ,	 04017 ,    00023 ,	    00001 ,   000.038 ,  000.001 ,	   06418 ,	   00036 ,	 00176 ,    014.208 ,	 00005 ,    00000018 ,	   0000.63 ,	 0000.00 ,     00004
2019-05-23 14:08:26 ,  000003.589 ,   008.972 ,  0002.903 ,	 0044.940 ,	  0006 ,    0369 ,  003.000 ,	 03769 ,    00036 ,	    00001 ,   000.061 ,  000.001 ,	   06101 ,	   00058 ,	 00106 ,    014.206 ,	 00008 ,    00000048 ,	   0001.16 ,	 0000.01 ,     00006
2019-05-23 14:09:26 ,  000003.389 ,   008.470 ,  0002.806 ,	 0043.400 ,	  0006 ,    0371 ,  003.000 ,	 03101 ,    00114 ,	    00001 ,   000.238 ,  000.001 ,	   05210 ,	   00191 ,	 00027 ,    014.212 ,	 00016 ,    00000099 ,	   0000.52 ,	 0000.02 ,     00022
2019-05-23 14:10:26 ,  000003.507 ,   008.766 ,  0002.875 ,	 0043.450 ,	  0007 ,    0370 ,  005.000 ,	 03143 ,    00115 ,	    00001 ,   000.242 ,  000.001 ,	   05334 ,	   00195 ,	 00027 ,    014.237 ,	 00017 ,    00000102 ,	   0000.55 ,	 0000.02 ,     00025
2019-05-23 14:11:26 ,  000004.449 ,   011.121 ,  0003.847 ,	 0049.290 ,	  0008 ,    0370 ,  004.000 ,	 03844 ,    00185 ,	    00001 ,   000.375 ,  000.001 ,	   05461 ,	   00263 ,	 00021 ,    014.241 ,	 00020 ,    00000115 ,	   0000.47 ,	 0000.02 ,     00050
2019-05-23 14:12:26 ,  000003.817 ,   009.542 ,  0003.201 ,	 0046.090 ,	  0007 ,    0369 ,  004.000 ,	 03148 ,    00145 ,	    00001 ,   000.319 ,  000.001 ,	   04823 ,	   00221 ,	 00022 ,    014.243 ,	 00019 ,    00000118 ,	   0000.50 ,	 0000.02 ,     00044
2019-05-23 14:13:26 ,  000003.342 ,   008.354 ,  0002.707 ,	 0038.620 ,	  0007 ,    0369 ,  004.000 ,	 02671 ,    00107 ,	    00001 ,   000.280 ,  000.001 ,	   04688 ,	   00187 ,	 00025 ,    014.256 ,	 00018 ,    00000105 ,	   0000.52 ,	 0000.02 ,     00023
2019-05-23 14:14:26 ,  000003.263 ,   008.157 ,  0002.699 ,	 0039.320 ,	  0007 ,    0370 ,  004.000 ,	 02386 ,    00092 ,	    00001 ,   000.264 ,  000.002 ,	   03716 ,	   00143 ,	 00026 ,    014.261 ,	 00016 ,    00000091 ,	   0000.46 ,	 0000.02 ,     00022
2019-05-23 14:15:26 ,  000003.414 ,   008.533 ,  0002.841 ,	 0044.200 ,	  0006 ,    0368 ,  002.000 ,	 02744 ,    00128 ,	    00001 ,   000.299 ,  000.002 ,	   04068 ,	   00189 ,	 00021 ,    014.269 ,	 00020 ,    00000122 ,	   0000.52 ,	 0000.02 ,     00028
2019-05-23 14:16:26 ,  000003.311 ,   008.278 ,  0002.698 ,	 0042.130 ,	  0006 ,    0368 ,  004.000 ,	 02967 ,    00122 ,	    00001 ,   000.264 ,  000.001 ,	   04269 ,	   00176 ,	 00024 ,    014.258 ,	 00018 ,    00000110 ,	   0000.52 ,	 0000.02 ,     00024
2019-05-23 14:17:26 ,  000003.292 ,   008.230 ,  0002.703 ,	 0040.590 ,	  0007 ,    0368 ,  003.000 ,	 02725 ,    00109 ,	    00001 ,   000.266 ,  000.002 ,	   04079 ,	   00163 ,	 00025 ,    014.258 ,	 00018 ,    00000111 ,	   0000.55 ,	 0000.02 ,     00025
2019-05-23 14:18:26 ,  000004.260 ,   010.648 ,  0003.196 ,	 0043.110 ,	  0007 ,    0381 ,  004.000 ,	 02541 ,    00123 ,	    00001 ,   000.358 ,  000.002 ,	   03542 ,	   00171 ,	 00021 ,    014.325 ,	 00023 ,    00000143 ,	   0000.57 ,	 0000.03 ,     00030
2019-05-23 14:19:26 ,  000004.112 ,   010.278 ,  0002.967 ,	 0038.840 ,	  0008 ,    0377 ,  004.000 ,	 03558 ,    00173 ,	    00001 ,   000.372 ,  000.001 ,	   03525 ,	   00172 ,	 00021 ,    014.264 ,	 00022 ,    00000263 ,	   0001.05 ,	 0000.05 ,     00055
2019-05-23 14:20:26 ,  000003.478 ,   008.695 ,  0002.936 ,	 0041.100 ,	  0007 ,    0376 ,  004.000 ,	 02416 ,    00123 ,	    00001 ,   000.364 ,  000.002 ,	   03568 ,	   00182 ,	 00020 ,    014.266 ,	 00021 ,    00000120 ,	   0000.46 ,	 0000.02 ,     00025
2019-05-23 14:21:26 ,  000004.429 ,   011.071 ,  0003.859 ,	 0043.200 ,	  0009 ,    0378 ,  005.000 ,	 02639 ,    00140 ,	    00001 ,   000.475 ,  000.002 ,	   03234 ,	   00172 ,	 00019 ,    014.249 ,	 00022 ,    00000121 ,	   0000.46 ,	 0000.02 ,     00054
2019-05-23 14:22:26 ,  000004.081 ,   010.200 ,  0003.534 ,	 0044.550 ,	  0008 ,    0375 ,  003.000 ,	 02765 ,    00104 ,	    00001 ,   000.298 ,  000.002 ,	   03701 ,	   00139 ,	 00027 ,    014.250 ,	 00030 ,    00000103 ,	   0000.50 ,	 0000.02 ,     00037
2019-05-23 14:23:26 ,  000003.569 ,   008.922 ,  0002.991 ,	 0040.070 ,	  0007 ,    0375 ,  003.000 ,	 02747 ,    00116 ,	    00001 ,   000.315 ,  000.002 ,	   04135 ,	   00175 ,	 00024 ,    014.246 ,	 00020 ,    00000123 ,	   0000.56 ,	 0000.02 ,     00029
2019-05-23 14:24:26 ,  000003.823 ,   009.558 ,  0003.245 ,	 0042.710 ,	  0008 ,    0377 ,  004.000 ,	 03205 ,    00140 ,	    00001 ,   000.332 ,  000.002 ,	   04740 ,	   00207 ,	 00023 ,    014.236 ,	 00019 ,    00000112 ,	   0000.51 ,	 0000.02 ,     00031
2019-05-23 14:25:26 ,  000003.407 ,   008.517 ,  0002.885 ,	 0040.260 ,	  0007 ,    0373 ,  002.000 ,	 02394 ,    00121 ,	    00001 ,   000.361 ,  000.002 ,	   03571 ,	   00180 ,	 00020 ,    014.242 ,	 00021 ,    00000126 ,	   0000.49 ,	 0000.03 ,     00025
2019-05-23 14:26:26 ,  000003.383 ,   008.457 ,  0002.901 ,	 0040.900 ,	  0007 ,    0371 ,  002.000 ,	 02345 ,    00114 ,	    00001 ,   000.344 ,  000.002 ,	   03520 ,	   00171 ,	 00021 ,    014.242 ,	 00020 ,    00000113 ,	   0000.46 ,	 0000.02 ,     00024
2019-05-23 14:27:26 ,  000003.555 ,   008.886 ,  0002.961 ,	 0040.830 ,	  0007 ,    0369 ,  005.000 ,	 02648 ,    00128 ,	    00001 ,   000.352 ,  000.002 ,	   03940 ,	   00191 ,	 00021 ,    014.242 ,	 00020 ,    00000119 ,	   0000.49 ,	 0000.02 ,     00026
2019-05-23 14:28:26 ,  000003.743 ,   009.357 ,  0003.066 ,	 0040.790 ,	  0008 ,    0371 ,  005.000 ,	 02919 ,    00144 ,	    00001 ,   000.371 ,  000.002 ,	   04266 ,	   00210 ,	 00020 ,    014.237 ,	 00021 ,    00000124 ,	   0000.50 ,	 0000.02 ,     00031
2019-05-23 14:29:26 ,  000003.812 ,   009.530 ,  0003.238 ,	 0040.230 ,	  0008 ,    0372 ,  003.000 ,	 02674 ,    00132 ,	    00001 ,   000.396 ,  000.002 ,	   03649 ,	   00180 ,	 00020 ,    014.067 ,	 00024 ,    00000141 ,	   0000.54 ,	 0000.03 ,     00030
2019-05-23 14:30:26 ,  000003.163 ,   007.907 ,  0002.641 ,	 0041.140 ,	  0006 ,    0368 ,  004.000 ,	 02546 ,    00113 ,	    00001 ,   000.286 ,  000.002 ,	   03819 ,	   00170 ,	 00022 ,    014.066 ,	 00019 ,    00000119 ,	   0000.52 ,	 0000.02 ,     00026
2019-05-23 14:31:26 ,  000004.291 ,   010.727 ,  0003.616 ,	 0045.520 ,	  0008 ,    0369 ,  002.000 ,	 03160 ,    00150 ,	    00001 ,   000.377 ,  000.001 ,	   03992 ,	   00190 ,	 00021 ,    014.064 ,	 00020 ,    00000116 ,	   0000.48 ,	 0000.02 ,     00048
