BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-21 00:58:52 ,  000001.834 ,   004.585 ,  0000.518 ,	 0096.030 ,	  0001 ,    0407 ,  002.000 ,	 00983 ,    00008 ,	    00001 ,   000.004 ,  000.000 ,	   01181 ,	   00009 ,	 00127 ,    014.244 ,	 00006 ,    00000005 ,	   0000.16 ,	 0000.00 ,     00000
2019-05-21 00:59:52 ,  000013.007 ,   032.518 ,  0008.531 ,	 0032.440 ,	  0026 ,    0491 ,  062.000 ,	 01199 ,    00019 ,	    00001 ,   000.409 ,  000.002 ,	   01438 ,	   00022 ,	 00064 ,    014.167 ,	 00015 ,    00000111 ,	   0002.12 ,	 0000.03 ,     00003
2019-05-21 01:00:53 ,  000013.678 ,   034.195 ,  0006.578 ,	 0029.200 ,	  0023 ,    0410 ,  015.000 ,	 01937 ,    00015 ,	    00001 ,   000.175 ,  000.001 ,	   01906 ,	   00015 ,	 00129 ,    013.978 ,	 00010 ,    00000061 ,	   0001.28 ,	 0000.01 ,     00005
2019-05-21 01:01:53 ,  000015.753 ,   039.379 ,  0006.759 ,	 0034.300 ,	  0020 ,    0409 ,  011.000 ,	 01835 ,    00015 ,	    00001 ,   000.158 ,  000.001 ,	   02076 ,	   00017 ,	 00124 ,    013.891 ,	 00012 ,    00000058 ,	   0001.19 ,	 0000.01 ,     00005
2019-05-21 01:02:52 ,  000020.958 ,   052.401 ,  0011.959 ,	 0029.850 ,	  0040 ,    0569 ,  012.000 ,	 00989 ,    00020 ,	    00001 ,   000.812 ,  000.005 ,	   01462 ,	   00030 ,	 00049 ,    013.756 ,	 00021 ,    00000070 ,	   0000.58 ,	 0000.01 ,     00004
2019-05-21 01:03:52 ,  000018.775 ,   046.932 ,  0010.547 ,	 0018.930 ,	  0056 ,    0571 ,  011.000 ,	 00591 ,    00013 ,	    00001 ,   001.191 ,  000.020 ,	   00932 ,	   00020 ,	 00047 ,    014.286 ,	 00016 ,    00000070 ,	   0000.58 ,	 0000.01 ,     00002
2019-05-21 01:04:52 ,  000015.521 ,   038.802 ,  0007.215 ,	 0012.260 ,	  0059 ,    0573 ,  009.000 ,	 01227 ,    00026 ,	    00001 ,   001.243 ,  000.010 ,	   01580 ,	   00033 ,	 00047 ,    014.355 ,	 00019 ,    00000199 ,	   0001.61 ,	 0000.03 ,     00002
2019-05-21 01:05:53 ,  000012.883 ,   032.206 ,  0004.545 ,	 0013.260 ,	  0034 ,    0569 ,  011.000 ,	 01890 ,    00033 ,	    00001 ,   000.591 ,  000.002 ,	   02375 ,	   00041 ,	 00058 ,    014.198 ,	 00018 ,    00000364 ,	   0003.33 ,	 0000.06 ,     00004
2019-05-21 01:06:53 ,  000012.810 ,   032.026 ,  0004.535 ,	 0009.290 ,	  0049 ,    0409 ,  011.000 ,	 01275 ,    00031 ,	    00001 ,   001.172 ,  000.006 ,	   01669 ,	   00040 ,	 00042 ,    014.637 ,	 00019 ,    00000334 ,	   0002.21 ,	 0000.05 ,     00003
2019-05-21 01:07:53 ,  000021.739 ,   054.207 ,  0012.344 ,	 0025.540 ,	  0048 ,    0508 ,  041.000 ,	 09973 ,    00002 ,	    00001 ,   000.010 ,  000.002 ,	   15144 ,	   00003 ,	 04761 ,    014.685 ,	 00005 ,    00000005 ,	   0004.56 ,	 0000.00 ,     00000
