BEGINTIME,HOSTCUPSEC,HOSTCUPCT,CUPSEC,DBCPUTIMRATIO, AVGACTSESS,SESSCNT,LOAD,EXECPSEC,EXECPTXN,EXECPUSERCALL,RESPTPTXN,SQLRESPT,USERCALLSPSEC,USERCALLSPTXN,USERTXNPSEC,SHRFREEPCT,ENQRPTXN,DBBCHNGPTXN,REDOPSEC_MB,REDOPTXN_MB,PARSEPTXN
2019-05-24 04:56:26 ,  000000.460 ,   001.149 ,  0000.235 ,	 0096.390 ,	  0000 ,    0302 ,  000.000 ,	 00134 ,    00004 ,	    00001 ,   000.006 ,  000.001 ,	   00190 ,	   00005 ,	 00038 ,    013.360 ,	 00009 ,    00000006 ,	   0000.04 ,	 0000.00 ,     00001
2019-05-24 04:57:26 ,  000000.569 ,   001.422 ,  0000.343 ,	 0096.160 ,	  0000 ,    0302 ,  000.000 ,	 00213 ,    00005 ,	    00001 ,   000.008 ,  000.001 ,	   00422 ,	   00009 ,	 00046 ,    013.312 ,	 00008 ,    00000007 ,	   0000.06 ,	 0000.00 ,     00001
2019-05-24 04:58:25 ,  000010.908 ,   027.265 ,  0010.171 ,	 0094.670 ,	  0011 ,    0302 ,  016.000 ,	 08904 ,    00010 ,	    00001 ,   000.012 ,  000.001 ,	   10354 ,	   00012 ,	 00882 ,    013.204 ,	 00003 ,    00000009 ,	   0001.43 ,	 0000.00 ,     00000
2019-05-24 04:59:25 ,  000008.591 ,   021.472 ,  0007.998 ,	 0096.010 ,	  0008 ,    0304 ,  001.000 ,	 07012 ,    00010 ,	    00001 ,   000.012 ,  000.001 ,	   08132 ,	   00012 ,	 00704 ,    013.200 ,	 00003 ,    00000007 ,	   0000.95 ,	 0000.00 ,     00000
2019-05-24 05:00:25 ,  000007.680 ,   019.189 ,  0006.112 ,	 0064.950 ,	  0009 ,    0868 ,  036.000 ,	 01534 ,    00004 ,	    00001 ,   000.022 ,  000.003 ,	   02055 ,	   00005 ,	 00425 ,    013.046 ,	 00004 ,    00000009 ,	   0001.88 ,	 0000.00 ,     00000
2019-05-24 05:01:25 ,  000035.113 ,   087.765 ,  0034.581 ,	 0042.790 ,	  0081 ,    1349 ,  059.000 ,	 00282 ,    01223 ,	    00009 ,   350.657 ,  000.078 ,	   00031 ,	   00134 ,	 00000 ,    013.325 ,	 01907 ,    00000024 ,	   0000.01 ,	 0000.03 ,     01197
2019-05-24 05:02:26 ,  000039.477 ,   098.715 ,  0038.714 ,	 0029.760 ,	  0130 ,    1403 ,  153.000 ,	 00061 ,    00261 ,	    00010 ,   554.495 ,  000.503 ,	   00006 ,	   00025 ,	 00000 ,    013.326 ,	 01178 ,    00000035 ,	   0000.01 ,	 0000.02 ,     00259
2019-05-24 05:03:30 ,  000038.687 ,   096.564 ,  0037.947 ,	 0052.260 ,	  0073 ,    1351 ,  084.000 ,	 00205 ,    00852 ,	    00007 ,   302.401 ,  000.098 ,	   00030 ,	   00126 ,	 00000 ,    013.326 ,	 01324 ,    00000010 ,	   0000.01 ,	 0000.04 ,     00850
2019-05-24 05:04:41 ,  000032.565 ,   081.594 ,  0031.424 ,	 0062.250 ,	  0050 ,    1488 ,  037.000 ,	 00361 ,    01440 ,	    00004 ,   201.440 ,  000.038 ,	   00086 ,	   00344 ,	 00000 ,    013.413 ,	 01848 ,    00000043 ,	   0000.01 ,	 0000.03 ,     01439
2019-05-24 05:05:41 ,  000024.781 ,   061.650 ,  0025.426 ,	 0071.420 ,	  0036 ,    1086 ,  059.000 ,	 00092 ,    00393 ,	    00000 ,   152.657 ,  000.054 ,	   00191 ,	   00817 ,	 00000 ,    013.505 ,	 01810 ,    00000049 ,	   0000.00 ,	 0000.01 ,     00060
2019-05-24 05:06:40 ,  000021.850 ,   054.892 ,  0022.370 ,	 0083.930 ,	  0027 ,    0710 ,  012.000 ,	 00014 ,    00061 ,	    00000 ,   113.664 ,  000.082 ,	   00183 ,	   00779 ,	 00000 ,    013.759 ,	 01402 ,    00048616 ,	   0000.00 ,	 0000.01 ,     00046
2019-05-24 05:07:41 ,  000010.102 ,   025.256 ,  0009.835 ,	 0097.850 ,	  0010 ,    0710 ,  008.000 ,	 00005 ,    00023 ,	    00000 ,   043.094 ,  000.040 ,	   00212 ,	   00908 ,	 00000 ,    013.756 ,	 01204 ,    00166081 ,	   0000.00 ,	 0000.00 ,     00021
2019-05-24 05:08:41 ,  000017.477 ,   042.315 ,  0015.265 ,	 0045.790 ,	  0033 ,    0949 ,  076.000 ,	 00011 ,    00044 ,	    00000 ,   134.582 ,  000.126 ,	   00187 ,	   00755 ,	 00000 ,    013.553 ,	 01149 ,    00167274 ,	   0000.00 ,	 0000.00 ,     00041
2019-05-24 05:09:41 ,  000038.585 ,   099.722 ,  0039.408 ,	 0061.300 ,	  0064 ,    0951 ,  047.000 ,	 00013 ,    00057 ,	    00000 ,   274.753 ,  000.561 ,	   00061 ,	   00261 ,	 00000 ,    013.551 ,	 00972 ,    00074559 ,	   0000.01 ,	 0000.03 ,     00055
2019-05-24 05:10:41 ,  000039.489 ,   098.598 ,  0038.928 ,	 0064.350 ,	  0060 ,    0949 ,  057.000 ,	 00085 ,    00358 ,	    00001 ,   256.054 ,  000.165 ,	   00085 ,	   00362 ,	 00000 ,    013.551 ,	 01022 ,    00132711 ,	   0000.00 ,	 0000.00 ,     00357
2019-05-24 05:11:40 ,  000039.379 ,   098.391 ,  0038.517 ,	 0063.610 ,	  0061 ,    0949 ,  051.000 ,	 00383 ,    01660 ,	    00006 ,   262.273 ,  000.047 ,	   00067 ,	   00290 ,	 00000 ,    013.523 ,	 00930 ,    00097786 ,	   0000.00 ,	 0000.01 ,     01645
2019-05-24 05:12:41 ,  000039.415 ,   098.733 ,  0039.516 ,	 0061.540 ,	  0064 ,    0869 ,  039.000 ,	 00475 ,    02039 ,	    00020 ,   275.690 ,  000.042 ,	   00023 ,	   00100 ,	 00000 ,    013.572 ,	 00937 ,    00004045 ,	   0000.00 ,	 0000.00 ,     02016
2019-05-24 05:13:40 ,  000016.958 ,   042.398 ,  0017.260 ,	 0079.900 ,	  0022 ,    0868 ,  009.000 ,	 00006 ,    00025 ,	    00000 ,   091.408 ,  000.059 ,	   00311 ,	   01316 ,	 00000 ,    013.572 ,	 01148 ,    00000029 ,	   0000.00 ,	 0000.00 ,     00022
2019-05-24 05:14:40 ,  000010.571 ,   026.428 ,  0010.228 ,	 0094.710 ,	  0011 ,    0631 ,  010.000 ,	 00013 ,    00050 ,	    00000 ,   043.194 ,  000.047 ,	   00136 ,	   00545 ,	 00000 ,    013.750 ,	 01151 ,    00000040 ,	   0000.00 ,	 0000.01 ,     00035
2019-05-24 05:15:40 ,  000009.146 ,   022.865 ,  0008.833 ,	 0092.910 ,	  0010 ,    0548 ,  005.000 ,	 00008 ,    00034 ,	    00000 ,   040.745 ,  000.028 ,	   00268 ,	   01150 ,	 00000 ,    013.745 ,	 01197 ,    00000029 ,	   0000.00 ,	 0000.01 ,     00025
2019-05-24 05:16:40 ,  000004.020 ,   010.047 ,  0003.609 ,	 0082.510 ,	  0004 ,    0546 ,  004.000 ,	 00012 ,    00051 ,	    00000 ,   018.747 ,  000.014 ,	   00259 ,	   01108 ,	 00000 ,    013.721 ,	 01125 ,    00000030 ,	   0000.00 ,	 0000.01 ,     00044
2019-05-24 05:17:40 ,  000004.013 ,   010.030 ,  0003.473 ,	 0069.970 ,	  0005 ,    0546 ,  004.000 ,	 00026 ,    00112 ,	    00000 ,   021.272 ,  000.012 ,	   00238 ,	   01019 ,	 00000 ,    013.685 ,	 01209 ,    00005134 ,	   0000.00 ,	 0000.01 ,     00090
2019-05-24 05:18:40 ,  000004.184 ,   010.458 ,  0003.752 ,	 0081.380 ,	  0005 ,    0546 ,  004.000 ,	 00008 ,    00035 ,	    00000 ,   019.760 ,  000.014 ,	   00291 ,	   01247 ,	 00000 ,    013.680 ,	 01111 ,    00000023 ,	   0000.00 ,	 0000.00 ,     00025
2019-05-24 05:19:40 ,  000004.375 ,   010.935 ,  0004.041 ,	 0084.080 ,	  0005 ,    0548 ,  004.000 ,	 00007 ,    00028 ,	    00000 ,   019.223 ,  000.015 ,	   00283 ,	   01134 ,	 00000 ,    013.676 ,	 01043 ,    00000020 ,	   0000.00 ,	 0000.00 ,     00021
2019-05-24 05:20:40 ,  000004.153 ,   010.382 ,  0003.778 ,	 0072.160 ,	  0005 ,    0547 ,  005.000 ,	 00114 ,    00489 ,	    00000 ,   022.450 ,  000.009 ,	   00241 ,	   01032 ,	 00000 ,    013.678 ,	 01097 ,    00000011 ,	   0000.00 ,	 0000.00 ,     00487
2019-05-24 05:21:40 ,  000005.155 ,   012.885 ,  0004.809 ,	 0082.600 ,	  0006 ,    0549 ,  005.000 ,	 00587 ,    02518 ,	    00003 ,   024.950 ,  000.003 ,	   00220 ,	   00945 ,	 00000 ,    013.676 ,	 01110 ,    00000278 ,	   0000.01 ,	 0000.04 ,     02515
2019-05-24 05:22:40 ,  000029.592 ,   073.976 ,  0028.665 ,	 0049.650 ,	  0058 ,    0866 ,  029.000 ,	 00253 ,    01097 ,	    00002 ,   250.424 ,  000.055 ,	   00154 ,	   00669 ,	 00000 ,    013.471 ,	 02019 ,    00000418 ,	   0000.02 ,	 0000.07 ,     01092
2019-05-24 05:23:41 ,  000030.015 ,   075.045 ,  0029.778 ,	 0092.480 ,	  0032 ,    0866 ,  026.000 ,	 00007 ,    00031 ,	    00000 ,   136.508 ,  000.080 ,	   00139 ,	   00589 ,	 00000 ,    013.473 ,	 02043 ,    00000226 ,	   0000.01 ,	 0000.05 ,     00028
2019-05-24 05:24:40 ,  000042.857 ,   094.401 ,  0036.942 ,	 0047.540 ,	  0078 ,    0853 ,  099.000 ,	 00016 ,    00049 ,	    00000 ,   233.562 ,  000.362 ,	   00064 ,	   00193 ,	 00000 ,    013.464 ,	 00840 ,    00000103 ,	   0000.02 ,	 0000.07 ,     00036
2019-05-24 05:26:40 ,  000033.043 ,   098.584 ,  0039.167 ,	 0069.980 ,	  0056 ,    0817 ,  032.000 ,	 00006 ,    00029 ,	    00000 ,   294.902 ,  000.458 ,	   00052 ,	   00276 ,	 00000 ,    013.442 ,	 00740 ,    00000021 ,	   0000.00 ,	 0000.01 ,     00024
2019-05-24 05:28:21 ,  000019.700 ,   049.251 ,  0019.667 ,	 0097.030 ,	  0020 ,    0798 ,  012.000 ,	 00021 ,    00088 ,	    00000 ,   086.898 ,  000.059 ,	   00147 ,	   00631 ,	 00000 ,    013.421 ,	 01422 ,    00000070 ,	   0000.00 ,	 0000.01 ,     00075
2019-05-24 05:29:21 ,  000011.680 ,   029.197 ,  0011.153 ,	 0079.180 ,	  0014 ,    0719 ,  012.000 ,	 00116 ,    00178 ,	    00001 ,   021.671 ,  000.023 ,	   00219 ,	   00337 ,	 00001 ,    013.398 ,	 00500 ,    00000317 ,	   0000.04 ,	 0000.06 ,     00039
2019-05-24 05:30:21 ,  000008.448 ,   021.116 ,  0008.079 ,	 0075.740 ,	  0011 ,    0709 ,  006.000 ,	 00015 ,    00066 ,	    00000 ,   045.723 ,  000.042 ,	   00143 ,	   00614 ,	 00000 ,    013.390 ,	 01186 ,    00000052 ,	   0000.00 ,	 0000.01 ,     00056
2019-05-24 05:31:21 ,  000007.241 ,   018.099 ,  0006.785 ,	 0077.260 ,	  0009 ,    0664 ,  007.000 ,	 00546 ,    00683 ,	    00003 ,   010.977 ,  000.005 ,	   00163 ,	   00203 ,	 00001 ,    015.636 ,	 00342 ,    00000012 ,	   0000.00 ,	 0000.00 ,     00680
2019-05-24 05:32:21 ,  000006.110 ,   015.272 ,  0005.788 ,	 0078.230 ,	  0007 ,    0664 ,  005.000 ,	 00390 ,    01671 ,	    00003 ,   031.709 ,  000.006 ,	   00126 ,	   00541 ,	 00000 ,    015.612 ,	 01145 ,    00000036 ,	   0000.00 ,	 0000.01 ,     01660
2019-05-24 05:33:21 ,  000010.007 ,   025.016 ,  0009.700 ,	 0052.240 ,	  0019 ,    0500 ,  005.000 ,	 00020 ,    00087 ,	    00000 ,   079.711 ,  000.056 ,	   00166 ,	   00713 ,	 00000 ,    015.739 ,	 01277 ,    00000067 ,	   0000.00 ,	 0000.01 ,     00072
2019-05-24 05:34:21 ,  000010.319 ,   025.790 ,  0009.162 ,	 0071.880 ,	  0013 ,    0500 ,  002.000 ,	 00013 ,    00053 ,	    00000 ,   051.090 ,  000.033 ,	   00292 ,	   01169 ,	 00000 ,    015.717 ,	 01068 ,    00000041 ,	   0000.01 ,	 0000.02 ,     00043
2019-05-24 05:35:21 ,  000016.180 ,   040.447 ,  0016.344 ,	 0092.040 ,	  0018 ,    0497 ,  013.000 ,	 00006 ,    00024 ,	    00000 ,   076.103 ,  000.059 ,	   00262 ,	   01121 ,	 00000 ,    015.717 ,	 01107 ,    00000016 ,	   0000.00 ,	 0000.00 ,     00021
